,headings,Description
581,NULL,"parking type driveway type bay width (m) bay length (m) driveway width (m) parallel one way (see figure b.59) 45 one way (see figure b.60) 60 one way (see figure b.61) 75 one way (see figure b.62) 90 90 (see figure b.63) one way two way 2.5 2.5 2.5 2.5 2.5 2.5 6 5.5 5.5 5.5 5.5 5.5* 3 3.3 3.8 5.5 5.5 6 * for perpendicular (90) parking bays, dimensions may be reduced to 5  2.5 in following circumstances a) all perpendicular bays in plots less than 30 in length b) up to 10% of perpendicular bays in plots of 30 length or greater"
582,NULL,"table b.11 minimum dimensions for parking in designing parking spaces, bays bounded by building structural elements or walls shall have additional space of 300 mm from structural element if it interrupts opening of vehicle doors or manoeuvring or at end of driveway"
583,bus parking bays,"6.0 2.5 3.0 2.5 figure b.59 parallel parking 3.3 45 5.5 02 2.5 01 2.8 03 3.0 figure b.60 45 angle parking key 01 typical width 02 typical length 03 width of bays bounded by structural elements b 66 dubai building code part b architecture 3.8 60 2.5 5.5 5.5 75 2.5 5.5 6.0 5.5 5.5 90 01 2.5 01 02 5.5 02 3.0 3.0 figure b.61 60 angle parking figure b.62 75 angle parking figure b.63 90 angle parking 2.8 03 key 01 typical width 02 typical length key 01 typical width 02 typical length 03 width of bays bounded by structural elements b 67 dubai building code part b architecture bus parking bays b.7.2.5 bus parking provisions within plot limits shall conform to table b.12, figure b.64 and figure b.65"
584,NULL,parking dimensions and manoeuvring clearances based on 12 long bus. vehicular manoeuvring analysis shall be conducted to determine requirements for alternative bus sizes and other parking angles. angle of parking bay width (m) bay length (m) parallel to road angular  45 perpendicular 4 4 4 table b.12 bus parking dimensions 13 13 13 transition length (m) manoeuvring width minimum (m) 16 - - 4.5 8 15 4.5 13.0 15.0 8.0 r 2 r 2 13.0 4.0 16.0 04 01 13.0 16.0 02 4.0 04 03 5
585,occupancy,4  r 12 45 r 1 2 4 5  r 12 figure b.64 parallel bus parking key 01 driveway curb line 02 one way 03 driveway 04 transition length b 68 figure b.65 perpendicular and angular bus parking dubai building code part b architecture parking provisions in buildings b.7.2.6 b.7.2.6.1 parking ratios parking ratios shall be determined in accordance with table b.13 for relevant building occupancy. parking requirements set out in affection plan or dcr shall take precedent over table b.13
586,parking provisions in buildings,4  r 12 45 r 1 2 4 5  r 12 figure b.64 parallel bus parking key 01 driveway curb line 02 one way 03 driveway 04 transition length b 68 figure b.65 perpendicular and angular bus parking dubai building code part b architecture parking provisions in buildings b.7.2.6 b.7.2.6.1 parking ratios parking ratios shall be determined in accordance with table b.13 for relevant building occupancy. parking requirements set out in affection plan or dcr shall take precedent over table b.13
587,parking ratios,4  r 12 45 r 1 2 4 5  r 12 figure b.64 parallel bus parking key 01 driveway curb line 02 one way 03 driveway 04 transition length b 68 figure b.65 perpendicular and angular bus parking dubai building code part b architecture parking provisions in buildings b.7.2.6 b.7.2.6.1 parking ratios parking ratios shall be determined in accordance with table b.13 for relevant building occupancy. parking requirements set out in affection plan or dcr shall take precedent over table b.13
588,educational,"occupancy use assembly cinema exhibition/conference centre parking ratio 1 bay for every 50 m2 of na for staff office and food and beverage use 1 bay for every 70 m2 of retail na 1 bay for every 3 seats or 20 m2 of na of cinema screen viewing area, whichever greater 1 bay for every 50 m2 of exhibition/ conference na mosques  residential areas and suburbs 1 bay for every 18 worshippers mosques  town centres, industrial areas and public spaces 1 bay for every 15 worshippers business library office government centre retail, malls retail shops mall petrol/gas station motor fuel dispensing facilities educational children nursery table b.13 parking ratios b 69 1 bay for every 50 m2 of library na 1 bay for every 50 m2 of office na 1 bay for each 50 m2 of office na 1 bay for every 70 m2 of retail na 1 bay for every 50 m2 of retail na 2 bays for petrol station 1 additional bay for every 70 m2 of supporting services na 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking occupancy use educational kindergarten school university educational institute residential studio 1 bedroom 2 bedroom 3 bedroom 4 bedroom 5 bedroom, duplex, penthouse staff accommodation labour accommodation parking ratio 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking for every 3 classrooms 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking for every 3 classrooms 1 bay for every 50 m2 of classroom na excluding sports hall 1 bus parking for every 200 students 10% additional parking for visitors 1 bay for every 50 m2 of classroom na 1 bay per unit 1 bay per unit 1 bay per unit 2 bays per unit 2 bays per unit 3 bays per unit 1 bay for every 450m2 of residential unit na 1 bus parking for every 650 m2 of residential unit na bus calculation based on total number of labours/2 shifts (depends on bus capacity) student accommodation 1 bay for every 40 residents bus parking for 50% of staff residing within complex dubai building code part b architecture occupancy use hotel establishment hotel  standard room hotel  suite room hotel apartment hotel food and beverage, management office, retail parking ratio 1 bay for every 5 rooms 1 bay for every 2 suites 1 bay for every 1 apartment up to 150 m2 2 bays for every 1 apartment above 150 m2 1 bay for every 50 m2 of related space na parking ratios for any building occupancy not listed in table b.13 should be determined in accordance with rta parking rates requirements ref. b.40. when building includes mix of occupancies, parking provided should conform to requirement for each specific occupancy"
589,labour accommodation,"occupancy use assembly cinema exhibition/conference centre parking ratio 1 bay for every 50 m2 of na for staff office and food and beverage use 1 bay for every 70 m2 of retail na 1 bay for every 3 seats or 20 m2 of na of cinema screen viewing area, whichever greater 1 bay for every 50 m2 of exhibition/ conference na mosques  residential areas and suburbs 1 bay for every 18 worshippers mosques  town centres, industrial areas and public spaces 1 bay for every 15 worshippers business library office government centre retail, malls retail shops mall petrol/gas station motor fuel dispensing facilities educational children nursery table b.13 parking ratios b 69 1 bay for every 50 m2 of library na 1 bay for every 50 m2 of office na 1 bay for each 50 m2 of office na 1 bay for every 70 m2 of retail na 1 bay for every 50 m2 of retail na 2 bays for petrol station 1 additional bay for every 70 m2 of supporting services na 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking occupancy use educational kindergarten school university educational institute residential studio 1 bedroom 2 bedroom 3 bedroom 4 bedroom 5 bedroom, duplex, penthouse staff accommodation labour accommodation parking ratio 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking for every 3 classrooms 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking for every 3 classrooms 1 bay for every 50 m2 of classroom na excluding sports hall 1 bus parking for every 200 students 10% additional parking for visitors 1 bay for every 50 m2 of classroom na 1 bay per unit 1 bay per unit 1 bay per unit 2 bays per unit 2 bays per unit 3 bays per unit 1 bay for every 450m2 of residential unit na 1 bus parking for every 650 m2 of residential unit na bus calculation based on total number of labours/2 shifts (depends on bus capacity) student accommodation 1 bay for every 40 residents bus parking for 50% of staff residing within complex dubai building code part b architecture occupancy use hotel establishment hotel  standard room hotel  suite room hotel apartment hotel food and beverage, management office, retail parking ratio 1 bay for every 5 rooms 1 bay for every 2 suites 1 bay for every 1 apartment up to 150 m2 2 bays for every 1 apartment above 150 m2 1 bay for every 50 m2 of related space na parking ratios for any building occupancy not listed in table b.13 should be determined in accordance with rta parking rates requirements ref. b.40. when building includes mix of occupancies, parking provided should conform to requirement for each specific occupancy"
590,mosques,"occupancy use assembly cinema exhibition/conference centre parking ratio 1 bay for every 50 m2 of na for staff office and food and beverage use 1 bay for every 70 m2 of retail na 1 bay for every 3 seats or 20 m2 of na of cinema screen viewing area, whichever greater 1 bay for every 50 m2 of exhibition/ conference na mosques  residential areas and suburbs 1 bay for every 18 worshippers mosques  town centres, industrial areas and public spaces 1 bay for every 15 worshippers business library office government centre retail, malls retail shops mall petrol/gas station motor fuel dispensing facilities educational children nursery table b.13 parking ratios b 69 1 bay for every 50 m2 of library na 1 bay for every 50 m2 of office na 1 bay for each 50 m2 of office na 1 bay for every 70 m2 of retail na 1 bay for every 50 m2 of retail na 2 bays for petrol station 1 additional bay for every 70 m2 of supporting services na 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking occupancy use educational kindergarten school university educational institute residential studio 1 bedroom 2 bedroom 3 bedroom 4 bedroom 5 bedroom, duplex, penthouse staff accommodation labour accommodation parking ratio 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking for every 3 classrooms 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking for every 3 classrooms 1 bay for every 50 m2 of classroom na excluding sports hall 1 bus parking for every 200 students 10% additional parking for visitors 1 bay for every 50 m2 of classroom na 1 bay per unit 1 bay per unit 1 bay per unit 2 bays per unit 2 bays per unit 3 bays per unit 1 bay for every 450m2 of residential unit na 1 bus parking for every 650 m2 of residential unit na bus calculation based on total number of labours/2 shifts (depends on bus capacity) student accommodation 1 bay for every 40 residents bus parking for 50% of staff residing within complex dubai building code part b architecture occupancy use hotel establishment hotel  standard room hotel  suite room hotel apartment hotel food and beverage, management office, retail parking ratio 1 bay for every 5 rooms 1 bay for every 2 suites 1 bay for every 1 apartment up to 150 m2 2 bays for every 1 apartment above 150 m2 1 bay for every 50 m2 of related space na parking ratios for any building occupancy not listed in table b.13 should be determined in accordance with rta parking rates requirements ref. b.40. when building includes mix of occupancies, parking provided should conform to requirement for each specific occupancy"
591,occupancy,"occupancy use assembly cinema exhibition/conference centre parking ratio 1 bay for every 50 m2 of na for staff office and food and beverage use 1 bay for every 70 m2 of retail na 1 bay for every 3 seats or 20 m2 of na of cinema screen viewing area, whichever greater 1 bay for every 50 m2 of exhibition/ conference na mosques  residential areas and suburbs 1 bay for every 18 worshippers mosques  town centres, industrial areas and public spaces 1 bay for every 15 worshippers business library office government centre retail, malls retail shops mall petrol/gas station motor fuel dispensing facilities educational children nursery table b.13 parking ratios b 69 1 bay for every 50 m2 of library na 1 bay for every 50 m2 of office na 1 bay for each 50 m2 of office na 1 bay for every 70 m2 of retail na 1 bay for every 50 m2 of retail na 2 bays for petrol station 1 additional bay for every 70 m2 of supporting services na 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking occupancy use educational kindergarten school university educational institute residential studio 1 bedroom 2 bedroom 3 bedroom 4 bedroom 5 bedroom, duplex, penthouse staff accommodation labour accommodation parking ratio 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking for every 3 classrooms 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking for every 3 classrooms 1 bay for every 50 m2 of classroom na excluding sports hall 1 bus parking for every 200 students 10% additional parking for visitors 1 bay for every 50 m2 of classroom na 1 bay per unit 1 bay per unit 1 bay per unit 2 bays per unit 2 bays per unit 3 bays per unit 1 bay for every 450m2 of residential unit na 1 bus parking for every 650 m2 of residential unit na bus calculation based on total number of labours/2 shifts (depends on bus capacity) student accommodation 1 bay for every 40 residents bus parking for 50% of staff residing within complex dubai building code part b architecture occupancy use hotel establishment hotel  standard room hotel  suite room hotel apartment hotel food and beverage, management office, retail parking ratio 1 bay for every 5 rooms 1 bay for every 2 suites 1 bay for every 1 apartment up to 150 m2 2 bays for every 1 apartment above 150 m2 1 bay for every 50 m2 of related space na parking ratios for any building occupancy not listed in table b.13 should be determined in accordance with rta parking rates requirements ref. b.40. when building includes mix of occupancies, parking provided should conform to requirement for each specific occupancy"
592,parking ratios,"occupancy use assembly cinema exhibition/conference centre parking ratio 1 bay for every 50 m2 of na for staff office and food and beverage use 1 bay for every 70 m2 of retail na 1 bay for every 3 seats or 20 m2 of na of cinema screen viewing area, whichever greater 1 bay for every 50 m2 of exhibition/ conference na mosques  residential areas and suburbs 1 bay for every 18 worshippers mosques  town centres, industrial areas and public spaces 1 bay for every 15 worshippers business library office government centre retail, malls retail shops mall petrol/gas station motor fuel dispensing facilities educational children nursery table b.13 parking ratios b 69 1 bay for every 50 m2 of library na 1 bay for every 50 m2 of office na 1 bay for each 50 m2 of office na 1 bay for every 70 m2 of retail na 1 bay for every 50 m2 of retail na 2 bays for petrol station 1 additional bay for every 70 m2 of supporting services na 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking occupancy use educational kindergarten school university educational institute residential studio 1 bedroom 2 bedroom 3 bedroom 4 bedroom 5 bedroom, duplex, penthouse staff accommodation labour accommodation parking ratio 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking for every 3 classrooms 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking for every 3 classrooms 1 bay for every 50 m2 of classroom na excluding sports hall 1 bus parking for every 200 students 10% additional parking for visitors 1 bay for every 50 m2 of classroom na 1 bay per unit 1 bay per unit 1 bay per unit 2 bays per unit 2 bays per unit 3 bays per unit 1 bay for every 450m2 of residential unit na 1 bus parking for every 650 m2 of residential unit na bus calculation based on total number of labours/2 shifts (depends on bus capacity) student accommodation 1 bay for every 40 residents bus parking for 50% of staff residing within complex dubai building code part b architecture occupancy use hotel establishment hotel  standard room hotel  suite room hotel apartment hotel food and beverage, management office, retail parking ratio 1 bay for every 5 rooms 1 bay for every 2 suites 1 bay for every 1 apartment up to 150 m2 2 bays for every 1 apartment above 150 m2 1 bay for every 50 m2 of related space na parking ratios for any building occupancy not listed in table b.13 should be determined in accordance with rta parking rates requirements ref. b.40. when building includes mix of occupancies, parking provided should conform to requirement for each specific occupancy"
593,public spaces,"occupancy use assembly cinema exhibition/conference centre parking ratio 1 bay for every 50 m2 of na for staff office and food and beverage use 1 bay for every 70 m2 of retail na 1 bay for every 3 seats or 20 m2 of na of cinema screen viewing area, whichever greater 1 bay for every 50 m2 of exhibition/ conference na mosques  residential areas and suburbs 1 bay for every 18 worshippers mosques  town centres, industrial areas and public spaces 1 bay for every 15 worshippers business library office government centre retail, malls retail shops mall petrol/gas station motor fuel dispensing facilities educational children nursery table b.13 parking ratios b 69 1 bay for every 50 m2 of library na 1 bay for every 50 m2 of office na 1 bay for each 50 m2 of office na 1 bay for every 70 m2 of retail na 1 bay for every 50 m2 of retail na 2 bays for petrol station 1 additional bay for every 70 m2 of supporting services na 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking occupancy use educational kindergarten school university educational institute residential studio 1 bedroom 2 bedroom 3 bedroom 4 bedroom 5 bedroom, duplex, penthouse staff accommodation labour accommodation parking ratio 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking for every 3 classrooms 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking for every 3 classrooms 1 bay for every 50 m2 of classroom na excluding sports hall 1 bus parking for every 200 students 10% additional parking for visitors 1 bay for every 50 m2 of classroom na 1 bay per unit 1 bay per unit 1 bay per unit 2 bays per unit 2 bays per unit 3 bays per unit 1 bay for every 450m2 of residential unit na 1 bus parking for every 650 m2 of residential unit na bus calculation based on total number of labours/2 shifts (depends on bus capacity) student accommodation 1 bay for every 40 residents bus parking for 50% of staff residing within complex dubai building code part b architecture occupancy use hotel establishment hotel  standard room hotel  suite room hotel apartment hotel food and beverage, management office, retail parking ratio 1 bay for every 5 rooms 1 bay for every 2 suites 1 bay for every 1 apartment up to 150 m2 2 bays for every 1 apartment above 150 m2 1 bay for every 50 m2 of related space na parking ratios for any building occupancy not listed in table b.13 should be determined in accordance with rta parking rates requirements ref. b.40. when building includes mix of occupancies, parking provided should conform to requirement for each specific occupancy"
594,staff accommodation,"occupancy use assembly cinema exhibition/conference centre parking ratio 1 bay for every 50 m2 of na for staff office and food and beverage use 1 bay for every 70 m2 of retail na 1 bay for every 3 seats or 20 m2 of na of cinema screen viewing area, whichever greater 1 bay for every 50 m2 of exhibition/ conference na mosques  residential areas and suburbs 1 bay for every 18 worshippers mosques  town centres, industrial areas and public spaces 1 bay for every 15 worshippers business library office government centre retail, malls retail shops mall petrol/gas station motor fuel dispensing facilities educational children nursery table b.13 parking ratios b 69 1 bay for every 50 m2 of library na 1 bay for every 50 m2 of office na 1 bay for each 50 m2 of office na 1 bay for every 70 m2 of retail na 1 bay for every 50 m2 of retail na 2 bays for petrol station 1 additional bay for every 70 m2 of supporting services na 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking occupancy use educational kindergarten school university educational institute residential studio 1 bedroom 2 bedroom 3 bedroom 4 bedroom 5 bedroom, duplex, penthouse staff accommodation labour accommodation parking ratio 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking for every 3 classrooms 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking for every 3 classrooms 1 bay for every 50 m2 of classroom na excluding sports hall 1 bus parking for every 200 students 10% additional parking for visitors 1 bay for every 50 m2 of classroom na 1 bay per unit 1 bay per unit 1 bay per unit 2 bays per unit 2 bays per unit 3 bays per unit 1 bay for every 450m2 of residential unit na 1 bus parking for every 650 m2 of residential unit na bus calculation based on total number of labours/2 shifts (depends on bus capacity) student accommodation 1 bay for every 40 residents bus parking for 50% of staff residing within complex dubai building code part b architecture occupancy use hotel establishment hotel  standard room hotel  suite room hotel apartment hotel food and beverage, management office, retail parking ratio 1 bay for every 5 rooms 1 bay for every 2 suites 1 bay for every 1 apartment up to 150 m2 2 bays for every 1 apartment above 150 m2 1 bay for every 50 m2 of related space na parking ratios for any building occupancy not listed in table b.13 should be determined in accordance with rta parking rates requirements ref. b.40. when building includes mix of occupancies, parking provided should conform to requirement for each specific occupancy"
595,student accommodation,"occupancy use assembly cinema exhibition/conference centre parking ratio 1 bay for every 50 m2 of na for staff office and food and beverage use 1 bay for every 70 m2 of retail na 1 bay for every 3 seats or 20 m2 of na of cinema screen viewing area, whichever greater 1 bay for every 50 m2 of exhibition/ conference na mosques  residential areas and suburbs 1 bay for every 18 worshippers mosques  town centres, industrial areas and public spaces 1 bay for every 15 worshippers business library office government centre retail, malls retail shops mall petrol/gas station motor fuel dispensing facilities educational children nursery table b.13 parking ratios b 69 1 bay for every 50 m2 of library na 1 bay for every 50 m2 of office na 1 bay for each 50 m2 of office na 1 bay for every 70 m2 of retail na 1 bay for every 50 m2 of retail na 2 bays for petrol station 1 additional bay for every 70 m2 of supporting services na 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking occupancy use educational kindergarten school university educational institute residential studio 1 bedroom 2 bedroom 3 bedroom 4 bedroom 5 bedroom, duplex, penthouse staff accommodation labour accommodation parking ratio 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking for every 3 classrooms 1 bay per classroom 1 bay for every 50 m2 of staff office na 1 bus parking for every 3 classrooms 1 bay for every 50 m2 of classroom na excluding sports hall 1 bus parking for every 200 students 10% additional parking for visitors 1 bay for every 50 m2 of classroom na 1 bay per unit 1 bay per unit 1 bay per unit 2 bays per unit 2 bays per unit 3 bays per unit 1 bay for every 450m2 of residential unit na 1 bus parking for every 650 m2 of residential unit na bus calculation based on total number of labours/2 shifts (depends on bus capacity) student accommodation 1 bay for every 40 residents bus parking for 50% of staff residing within complex dubai building code part b architecture occupancy use hotel establishment hotel  standard room hotel  suite room hotel apartment hotel food and beverage, management office, retail parking ratio 1 bay for every 5 rooms 1 bay for every 2 suites 1 bay for every 1 apartment up to 150 m2 2 bays for every 1 apartment above 150 m2 1 bay for every 50 m2 of related space na parking ratios for any building occupancy not listed in table b.13 should be determined in accordance with rta parking rates requirements ref. b.40. when building includes mix of occupancies, parking provided should conform to requirement for each specific occupancy"
596,NULL,"parking for sport stadiums and event arenas shall be determined according to transport study of type of sport or event, number of seats, visitors and public parking and transportation network"
597,healthcare,"hotel meeting, ballroom, function hall 1 bay for every 20 m2 of related space na healthcare refer to dha guidelines, part b ref. b.3 to ref. b.18 healthcare centres industrial light medium industry heavy industry warehouse table b.13 parking ratios (continued) 1 bay per each patient bed 1 bay per each 50 m2 of na for internal clinics, staff offices and all occupiable spaces 1 bay for every 70 m2 of management office na 1 bay for every 70 m2 for office if area exceeds 10% 1 bay for every 70 m2 of management office na b.7.2.6.2 preferred parking for buildings that have more than 20 parking bays, designated preferred parking shall be provided for combination of hybrid vehicles, electrical vehicles and carpool vehicles. number of preferred parking bays shall be calculated based on total vehicle parking bays required for building, as defined in b.7.2.6.1. percentage required for preferred parking 5%. this percentage does not include parking bays provided for people of determination (see c.6.4)"
598,parking ratios,"hotel meeting, ballroom, function hall 1 bay for every 20 m2 of related space na healthcare refer to dha guidelines, part b ref. b.3 to ref. b.18 healthcare centres industrial light medium industry heavy industry warehouse table b.13 parking ratios (continued) 1 bay per each patient bed 1 bay per each 50 m2 of na for internal clinics, staff offices and all occupiable spaces 1 bay for every 70 m2 of management office na 1 bay for every 70 m2 for office if area exceeds 10% 1 bay for every 70 m2 of management office na b.7.2.6.2 preferred parking for buildings that have more than 20 parking bays, designated preferred parking shall be provided for combination of hybrid vehicles, electrical vehicles and carpool vehicles. number of preferred parking bays shall be calculated based on total vehicle parking bays required for building, as defined in b.7.2.6.1. percentage required for preferred parking 5%. this percentage does not include parking bays provided for people of determination (see c.6.4)"
599,preferred parking,"hotel meeting, ballroom, function hall 1 bay for every 20 m2 of related space na healthcare refer to dha guidelines, part b ref. b.3 to ref. b.18 healthcare centres industrial light medium industry heavy industry warehouse table b.13 parking ratios (continued) 1 bay per each patient bed 1 bay per each 50 m2 of na for internal clinics, staff offices and all occupiable spaces 1 bay for every 70 m2 of management office na 1 bay for every 70 m2 for office if area exceeds 10% 1 bay for every 70 m2 of management office na b.7.2.6.2 preferred parking for buildings that have more than 20 parking bays, designated preferred parking shall be provided for combination of hybrid vehicles, electrical vehicles and carpool vehicles. number of preferred parking bays shall be calculated based on total vehicle parking bays required for building, as defined in b.7.2.6.1. percentage required for preferred parking 5%. this percentage does not include parking bays provided for people of determination (see c.6.4)"
600,charging equipment for electrical vehicles in malls,"b.7.2.6.3 charging equipment for electrical vehicles in malls for shopping malls, where preferred parking bays provided in accordance with b.7.2.6.2, necessary charging equipment for electrical vehicles shall be provided for 20% of total preferred parking bays. charging equipment shall conform to g.5"
601,preferred parking,"b.7.2.6.3 charging equipment for electrical vehicles in malls for shopping malls, where preferred parking bays provided in accordance with b.7.2.6.2, necessary charging equipment for electrical vehicles shall be provided for 20% of total preferred parking bays. charging equipment shall conform to g.5"
602,bicycle parking provision in building,b 70 dubai building code part b architecture bicycle parking provision in building b.7.2.7 bicycle parking should be located within building or within shaded area at ground level (see figure b.66) in easily accessible locations within plot limit and no more than 30 from building entrance
603,labour accommodation,"parking angle inclined stand width (x) (m) distance between two stands (d) (m) inclined stand depth (y) (m) 25 45 90 1.60 1.45  0.85 0.60 0.65 0.80 1.45 1.90 table b.14 bicycle stand minimum dimensions figure b.66 shaded bike areas and indoor bike rack area for student accommodation and labour accommodation buildings, bicycle parking facilities shall be provided for 10% of building occupants. other buildings shall be provided with bicycle parking equivalent to 5% of building car parking requirement as specified in b.7.2.6.1"
604,student accommodation,"parking angle inclined stand width (x) (m) distance between two stands (d) (m) inclined stand depth (y) (m) 25 45 90 1.60 1.45  0.85 0.60 0.65 0.80 1.45 1.90 table b.14 bicycle stand minimum dimensions figure b.66 shaded bike areas and indoor bike rack area for student accommodation and labour accommodation buildings, bicycle parking facilities shall be provided for 10% of building occupants. other buildings shall be provided with bicycle parking equivalent to 5% of building car parking requirement as specified in b.7.2.6.1"
605,NULL,dimensions for cycle stands shall be not less than minimum values given in table b.14 and figure b.67
606,loading and unloading areas,x figure b.67 bicycle stand minimum dimensions b 71 dubai building code part b architecture b.7.3 service and maintenance access to buildings loading and unloading areas b.7.3.1 b.7.3.1.1 general site layout shall allow for loading and unloading of vehicles to take place within plot boundaries. loading areas shall be located and designed such that vehicle intended to use them can manoeuvre safely and conveniently to and from row and can complete loading and unloading without obstructing or interfering with any row or any parking bay
607,NULL,loading and unloading spaces shall be provided for service vehicles within plot limits off public street/area
608,NULL,access driveway width for heavy vehicles shall be not less than 9 two way. one way driveway and gates for truck access shall be not less than 4.5 wide
609,NULL,"in general, off-street loading areas shall not be located in front of any type of building, including industrial buildings. off-street loading areas shall be located on rear or side of buildings in accordance with plot-defined access in affection plan and dcrs"
610,NULL,all off-street loading areas shall be drained. they shall be lit in accordance with part h
611,building types requirements,"loading and offloading areas may be located in facility basement levels, provided that appropriate clear height and manoeuvring clearances maintained to suit size of vehicles accessing facility. b.7.3.1.2 minimum bays and areas clearances clearances for off-street loading and unloading shall be not less than minimum values given in table b.15 and shown in figure b.68 truck length (m) loading area width (m) loading bay size (m) height clearance (m) 12 15 20 4 4 4 table b.15 required clearances 4 x 4 4 x 4 4 x 4 4.5 5 5 03 4.0 01 02 figure b.68 clearance requirements for loading areas key 01 dock leveller 02 loading area (truck length) 03 height clearance b 72 dubai building code part b architecture b.7.3.1.3 building types requirements space for loading and unloading should be provided for buildings based on building occupancy and operations. off-street loading and unloading area provided for specific uses shall be determined according to truck sizes as shown in table b.16. use hotels, malls industrial minimum loading area/truck size provision required 1 loading area for 12 truck 1 loading area for 15 truck any other required off-street loading area 1 loading area for 9 truck table b.16 loading truck size requirement based on use b.7.3.1.4 truck turning radii and clearances for trucks and other heavy vehicles, shallow parking angles of 10 to 45 generally appropriate. aisle widths dependent on design of vehicles but typically around 15 to 20"
612,hotels,"loading and offloading areas may be located in facility basement levels, provided that appropriate clear height and manoeuvring clearances maintained to suit size of vehicles accessing facility. b.7.3.1.2 minimum bays and areas clearances clearances for off-street loading and unloading shall be not less than minimum values given in table b.15 and shown in figure b.68 truck length (m) loading area width (m) loading bay size (m) height clearance (m) 12 15 20 4 4 4 table b.15 required clearances 4 x 4 4 x 4 4 x 4 4.5 5 5 03 4.0 01 02 figure b.68 clearance requirements for loading areas key 01 dock leveller 02 loading area (truck length) 03 height clearance b 72 dubai building code part b architecture b.7.3.1.3 building types requirements space for loading and unloading should be provided for buildings based on building occupancy and operations. off-street loading and unloading area provided for specific uses shall be determined according to truck sizes as shown in table b.16. use hotels, malls industrial minimum loading area/truck size provision required 1 loading area for 12 truck 1 loading area for 15 truck any other required off-street loading area 1 loading area for 9 truck table b.16 loading truck size requirement based on use b.7.3.1.4 truck turning radii and clearances for trucks and other heavy vehicles, shallow parking angles of 10 to 45 generally appropriate. aisle widths dependent on design of vehicles but typically around 15 to 20"
613,minimum bays and areas clearances,"loading and offloading areas may be located in facility basement levels, provided that appropriate clear height and manoeuvring clearances maintained to suit size of vehicles accessing facility. b.7.3.1.2 minimum bays and areas clearances clearances for off-street loading and unloading shall be not less than minimum values given in table b.15 and shown in figure b.68 truck length (m) loading area width (m) loading bay size (m) height clearance (m) 12 15 20 4 4 4 table b.15 required clearances 4 x 4 4 x 4 4 x 4 4.5 5 5 03 4.0 01 02 figure b.68 clearance requirements for loading areas key 01 dock leveller 02 loading area (truck length) 03 height clearance b 72 dubai building code part b architecture b.7.3.1.3 building types requirements space for loading and unloading should be provided for buildings based on building occupancy and operations. off-street loading and unloading area provided for specific uses shall be determined according to truck sizes as shown in table b.16. use hotels, malls industrial minimum loading area/truck size provision required 1 loading area for 12 truck 1 loading area for 15 truck any other required off-street loading area 1 loading area for 9 truck table b.16 loading truck size requirement based on use b.7.3.1.4 truck turning radii and clearances for trucks and other heavy vehicles, shallow parking angles of 10 to 45 generally appropriate. aisle widths dependent on design of vehicles but typically around 15 to 20"
614,occupancy,"loading and offloading areas may be located in facility basement levels, provided that appropriate clear height and manoeuvring clearances maintained to suit size of vehicles accessing facility. b.7.3.1.2 minimum bays and areas clearances clearances for off-street loading and unloading shall be not less than minimum values given in table b.15 and shown in figure b.68 truck length (m) loading area width (m) loading bay size (m) height clearance (m) 12 15 20 4 4 4 table b.15 required clearances 4 x 4 4 x 4 4 x 4 4.5 5 5 03 4.0 01 02 figure b.68 clearance requirements for loading areas key 01 dock leveller 02 loading area (truck length) 03 height clearance b 72 dubai building code part b architecture b.7.3.1.3 building types requirements space for loading and unloading should be provided for buildings based on building occupancy and operations. off-street loading and unloading area provided for specific uses shall be determined according to truck sizes as shown in table b.16. use hotels, malls industrial minimum loading area/truck size provision required 1 loading area for 12 truck 1 loading area for 15 truck any other required off-street loading area 1 loading area for 9 truck table b.16 loading truck size requirement based on use b.7.3.1.4 truck turning radii and clearances for trucks and other heavy vehicles, shallow parking angles of 10 to 45 generally appropriate. aisle widths dependent on design of vehicles but typically around 15 to 20"
