,Sentences
3671,"an object being kicked,  or deliberate, e.g."
3672,during maintenance) without sustaining damage that is not  repairable and without deterioration of its performance.
3673,Areas between  1.5 m to 6 m  above ground  or above  adjacent FFL    Description    Soft body    Hard body    Safety    500 J    Serviceability Safety    Serviceability    120 J    10 J    10 J    500 J    120 J    10 J    6 J    350 J    120 J    10 J    6 J    Area accessible to the  public and building users.
3674,Chance of accident  occurring and of misuse.
3675,Other accessible areas.
3676,Some chance of accident  occurring or of misuse.
3677,Area liable to impacts  from thrown or kicked  objects.
3678,Might also be subject  to impact during  maintenance which  might impose a higher  impact energy.
3679,Areas more  than 6 m above  ground or  above adjacent  FFL    Area mainly subject  to impact during  maintenance which  might impose a higher  impact energy.
3680,"350 J    120 J    3 J    3 J    Table E.2 Exposure categories and minimum impact test energy for opaque areas    The test energy impacts for opaque areas should be not less than those given in  Table E.2, in accordance with CWCT TN 75 [Ref."
3681,E.6].
3682,Soft and hard body testing shall follow the procedures in CWCT TN 76 [Ref.
3683,E.7].
3684,"E 10    Dubai Building Code    Part E: Building envelope     When subjected to the serviceability impact in Table E.2, materials and products used  in the building envelope shall achieve the following performance."
3685,a) Brittle materials shall present no failure or damage.
3686,"b) Other materials shall present no harm to surface finish, no indentation or damage."
3687,"Serviceability impacts shall not adversely affect the structural safety of the building,  or damage any part of the building such that it could fall or cause serious injury to  people inside or outside the building."
3688,The impact strength for glazing and plastic glazing sheet materials shall be obtained  from the safety and security recommendations in BS 6262-4.
3689,E.4.6    Load combination    Load shall be factored and combined in accordance with ASCE/SEI 7-16.
3690,"E 11    Dubai Building Code    Part E: Building envelope     E.5    Energy conservation    E.5.1    Energy compliance method    There are two compliance routes for energy performance, as shown in Figure E.1."
3691,"Where the performance method in Figure E.1 is to be used, the reference building  shall be equal in shape, size, orientation and operational patterns to the proposed  building."
3692,"Calculation shall be determined in accordance with ASHRAE 90.1:2019,  Appendix G, except for the minimum requirements for building envelope, equipment  efficiencies and other parameters and conditions that are listed in the elemental  method in Figure E.1."
3693,Compliance will be demonstrated if the annual energy consumption of the proposed  building is equal to or lower than the annual energy consumption of the  reference building.
3694,ENERGY COMPLIANCE METHOD    ELEMENTAL METHOD    PERFORMANCE METHOD    Using a calculation tool such as  dynamic thermal modelling    Calculation shall compare the annual  energy consumption of the proposed  building with that of a reference  building.
3695,"All buildings shall conform to:    E.5.2.1 Maximum glazed area    E.5.2.2 Orientation of glazed facades    E.5.2.3 Building envelope  performance    H.4.8.1 Energy efficiency – HVAC  equipment and systems    H.7.2 Lighting power density –  Interior    Figure E.1 Flow chart for energy compliance method    E 12    Dubai Building Code    Part E: Building envelope     E.5.2    Elemental method requirements    Orientation of glazed element    Maximum glazed area    E.5.2.1  Except for shopfronts, the total WWR of glazed façades for conditioned spaces shall  not exceed:    a) 40% of the gross wall area for residential buildings; and    b) 60% of the gross wall area for all other building types."
3696,"Orientation of glazed facades    E.5.2.2  For every orientation of the building, the percentage of the building elevation that  is glazed shall not exceed the values in Table E.3."
3697,Orientation shall be defined by the  angles in Table E.3 and as shown in Figure E.2.
3698,"North    Northeast    East    Southeast    South    Southwest    West    Northwest    Perpendicular angle from North  (α)  −22.5° ≤ α < 22.5°  22.5° ≤ α < 67.5°  67.5° ≤ α < 112.5°  112.5° ≤ α < 157.5°  157.5° ≤ α < 202.5°  202.5° ≤ α < 247.5°  247.5° ≤ α < 292.5°  292.5° ≤ α < 337.5°    Percentage of glazing per  building elevation    ≤80%    ≤70%    ≤60%    ≤40%    ≤40%    ≤40%    ≤60%    ≤70%    Table E.3 Window to external wall ratio based on orientation    N    α    N    N    α    α    α    Figure E.2 Orientation of glazed façade    E 13    Dubai Building Code    Part E: Building envelope     Building envelope performance    E.5.2.3  E.5.2.3.1 Non-glazed elements  With the exception of non-conditioned enclosed parking areas, the average thermal  transmittance for external walls, roofs, and exposed floors (the underside of the floor  is exposed to ambient conditions) shall not exceed the values in Table E.4 and  Figure E.3."
3699,"Element    Roof    External wall and exposed floor    Average thermal transmittance (W/m2K)    ≤0.3    ≤0.57    Table E.4 Thermal transmittance for non-glazed elements of roof, external wall and exposed floor    While the U-value for external walls can be achieved using aerated concrete blocks,  the use of insulation for the entire building envelope is recommended."
3700,"Insulation  materials shall conform to Sections 4 to 7, Ch."
3701,1 of UAE FLSC [Ref.
3702,E.1].
3703,"For the floor area that is in contact with the ground, the thermal transmittance  requirement shall be achieved by installing 1 m of perimeter insulation as shown in  Figure E.3."
3704,"≤0.3 W/m2K    ≤0.57 W/m2K    1 m    ≤0.57 W/m2K    Figure E.3 Thermal transmittance for non-glazed elements of roof, external wall and exposed floor    E 14    Dubai Building Code    Part E: Building envelope     Thermal transmittance values are overall U-values for the glazed elements."
3705,"Overall  U-values shall be calculated as the area-weighted averages of the centre of pane  U-value (glazing and panel) and frame U-value, including all edge effects (spacer and  frame) and thermal bridges."
3706,"Glazed elements having back-insulated panels shall also  meet the thermal transmittance requirement, including framing, edges effects and  thermal bridges."
3707,NOTE: The thermal transmittance of an insulating glass unit is higher when the  glazing is installed horizontally instead of vertically.
3708,E.5.2.3.2 Glazed elements  The glazed elements shall meet the performance criteria in Table E.5.
3709,The total glazed  façade shall conform to E.5.2.1.
3710,"Glazed vertical surfaces Total glazed area    Thermal transmittance  (U-value) in W/m2K    Shading coefficient    Light transmittance    <40%    ≤2.1    ≤0.4    ≥40%    40% to 60%    ≤1.9    ≤0.32    ≥32%    >60%    ≤1.7    ≤0.25    ≥25%    Table E.5 Performance criteria for glazed vertical surfaces based on total glazed area    For shopfronts and showrooms, other than those at ground floor level, glazed  elements shall meet the performance criteria in Table E.6."
3711,"Shopfronts and showrooms    Required performance criteria    Thermal transmittance (U-value) in W/m2K    Shading coefficient    ≤1.9    ≤0.76    Table E.6 Performance criteria for glazed shopfronts and showrooms, except ground floor    For skylights, the performance criteria in Table E.7 shall be met depending on the  area of glazing over the total roof area."
3712,Skylights    Percentage of glazed roof based on total roof area    Thermal transmittance (U-value) in W/m2K    Shading coefficient    Light transmittance    ≤10%    ≤1.9    ≤0.32    ≥32%    >10%    ≤1.9    ≤0.25     ≥25%    Table E.7 Performance criteria for a glazed roof based on total roof area    E 15    Dubai Building Code    Part E: Building envelope     The impact of external shade factors on the building’s thermal load shall be  calculated when the performance method (see E.5.1) is used to verify energy  compliance.
3713,"E.5.4    Thermal bridges    For all new air-conditioned buildings, thermal bridges shall be either eliminated  or insulated to reduce the amount of heat transfer."
3714,"Thermal bridging can occur at  connection points between concrete or steel beams, external walls and columns, and  around doors and windows (see Figure E.5)."
3715,NOTE: The BRE publication on assessing the effects of thermal bridging at junctions  and around openings [Ref.
3716,E.8] gives further details.
3717,02    E.5.3    Shade effect calculation    The use of external shading is recommended.
3718,The impact of external shading  (where used) and adjacent buildings can be taken into account when calculating  external load criteria.
3719,Examples of shading devices are shown in Figure E.4.
3720,01    02    01    Figure E.4 Examples of shading arrangements    Key  01: Vertical shading  02: Horizontal shading    E 16    Figure E.5 Example of linear thermal bridge in buildings    Dubai Building Code    Part E: Building envelope     E.5.5    Durability    E.5.7    Heat island effect reduction    The building envelope shall be designed and specified to limit degradation due to  environmental factors throughout the design life of the building.
3721,"Opaque building envelope surfaces shall have a solar reflectance index (SRI) value  not less than that shown in Table E.8 and Figure E.6, for a minimum of 75% of the  roof area."
3722,E.5.6    Sealing of windows and doors    Doors and window frames on the building exterior shall be sealed.
3723,"Sealing materials shall conform to Sections 4 to 7, Ch."
3724,1 of UAE FLSC [Ref.
3725,E.1].
3726,They  shall also prevent the transmission of air and sound that might occur as a result of  pressure differences across the exterior of the building.
3727,"Air leakage shall be controlled  in accordance with Part H.    Element    Steep sloped roofs (slopes steeper than 1:6)    Flat and low sloped roofs (slopes lower than or equal to 1:6)    External walls    Table E.8 Building envelope SRI value requirements    SRI value    ≥29    ≥78    ≥29    >    1  :  6    SRI≥29    ≤1  :  6    SRI≥78    SRI≥78    SRI≥29    Figure E.6    Illustration of SRI value requirements based on slope of roof    E 17    Dubai Building Code    Part E: Building envelope     E.5.8    Exterior light power, pollution and controls    The average lighting power density for the exterior connected lighting load for  building envelopes shall not exceed 2.2 W/m2 for each illuminated wall or surface area  or 16.4 W/linear metre for each illuminated wall or surface length."
3728,Permanently installed exterior lighting shall meet the following requirements.
3729,"a) All exterior light fixtures on the building site, other than architectural accent    lighting (see E.5.8b) and Civil Aviation safety lighting, shall be shielded, such that  the full light emitted by the fixture, either directly or indirectly by reflection or  by refraction from any part of the fixture, is projected below the horizontal plane  passing through the lowest part of the fixture (see Figure E.7)."
3730,NOTE: Civil Aviation safety lighting is not covered in this Part.
3731,b) Architectural accent lighting shall be aimed or shielded to prevent the lighting    of the night sky.
3732,Wall washing lights shall spill no more than 10% of the lighting  past the building façade.
3733,c) Downward directed lighting shall be used for lighting of signage.
3734,"d) All exterior lighting shall be fitted with automatic controls, so that the lights can    be set not to operate during daylight hours."
3735,E 18    Figure E.7 Example of downward directed lighting projected below the horizontal plane of the lowest part of  the fixture    Dubai Building Code    Part E: Building envelope     E.6    Sustainable materials    E.7 Moisture    Construction materials shall be chosen in accordance with B.10.6.
3736,E.7.1    General    Moisture control is fundamental to the functioning of any building.
3737,"Controlling  moisture is important to protect occupants from adverse health effects and to  protect the building, its mechanical systems and its contents from physical or  chemical damage."
3738,The building envelope shall protect the building and occupants from:    a) harmful effects caused by ground moisture;    b) precipitation (including windblown spray); and    c) the risk of interstitial or surface condensation.
3739,E.7.2    Ground moisture    The building envelope walls shall:    a) resist the passage of moisture from the ground to the inside of the building;    b) not be damaged by moisture from the ground; and    c) not carry moisture from the ground to any part of the building which could be    damaged.
3740,"For building envelope walls that are not subject to groundwater pressure, a damp-  proof course shall be provided at least 150 mm above the level of the adjoining  ground, as shown in Figure E.8, unless there is a part of the building design that  protects the wall."
3741,The damp-proof course shall be continuous with any damp-proof  membrane in the floor.
3742,E 19    Dubai Building Code    Part E: Building envelope     E.7.3    Precipitation including windblown spray    E.7.3.1  The building envelope shall resist the penetration of precipitation:    General    a) to the inside of the building; and    b) to any part of the building envelope that might be damaged by moisture.
3743,Horizontal and inclined surfaces    E.7.3.2  Horizontal surfaces or inclined surfaces within the building envelope (see Figure E.9)  shall:    a) be jointless and impermeable to moisture; or    b) have sealed joints and be impermeable to moisture; or    c) have overlapping joints and either be impermeable to moisture or be backed by a    material that directs precipitation towards the outer face.
3744,"02    03    04    06    01    05    07    08    09    10    Figure E.8 Minimum height for damp-proof course at ground level (© Crown Copyright, 2013."
3745,"Figure based on  Diagram 8 of the Building Regulations (2010), Approved Document Part C, 2004 Edition with 2010 and 2013  amendments."
3746,Contains public sector information licensed under the Open Government Licence v3.0)    Key  01: Out  02: In  03: Internal ground floor  04: Continuous damp proof course between wall and floor membrane  05: At least 150 mm if wall is an external wall  06: External ground floor  07: External pavement  08: Insulation  09: Compacted soil  10: Soil    01    75°    02    Guidance on protection for building envelope walls that are subject to groundwater  pressure can be found in BS 8102.
3747,"Figure E.9 Horizontal, inclined or vertical surfaces    E 20    Key  01: Vertical surfaces  02: Inclined surfaces  03: Horizontal surfaces    03    Dubai Building Code    Part E: Building envelope       Vertical surfaces    E.7.3.3  Vertical surfaces within the building envelope (see Figure E.9) shall meet the  following requirements as appropriate to the external wall build-up type."
3748,Examples of  external wall build-up types are given in Figure E.10.
3749,"a) Solid external walls: The wall shall hold moisture arising from rainwater until the  moisture can be released in a dry period, without penetrating to the inside of the  building or causing damage to the building."
3750,"If the wall is insulated, the insulation  shall provide resistance to the ingress of moisture to keep the wall dry."
3751,"b) Solid external walls with air cavities or with rainscreens: The outer leaf of an    external cavity wall shall either be separated from the inner leaf by a drained air  space, or prevent the precipitation from being carried to the inner leaf."
3752,"c) Curtain walling, doors and windows: Joints between curtain walling, doors,  windows and interfaces with other walls shall resist the penetration of  precipitation to the inside of the building."
3753,Joints shall not permit moisture to  reach any part of the building which could be damaged.
3754,"Key  01: Cladding  02: Thermal insulation layer (vapour  resistance layer on the outer face)  03: Block wall  04: Plaster  05: Cavity  06: Glass  07: Framing  08: Plaster or gypsum board  09: Aerated blockwork  10: Out  11: In    E 21    10    11    10    11    08    (a) Solid external walls    (b) Windows, doors or curtain walls    10    11    10    11    09    09    (c) Solid external walls with rainscreens    (d) Solid external walls with cavaties    Figure E.10 Examples of external wall build-up types    Dubai Building Code    Part E: Building envelope     E.8    Acoustics    The building envelope shall meet the acoustic requirements given in H.10."
3755,Flashing    E.7.3.4  Flashing shall be installed to prevent moisture from entering the building envelope or  redirect moisture to the exterior.
3756,"Flashing shall be installed at:    a) perimeters of exterior door and window assemblies;    b) penetrations and terminations of exterior wall assemblies;    c) exterior wall intersections with roofs, balconies and similar projections; and    d) built-in gutters from which moisture could enter the wall."
3757,"E.7.4    Risk of interstitial or surface condensation    The building envelope shall:    a) be designed and constructed such that its structural and thermal performance is    not adversely affected by interstitial condensation; and    b) not promote surface condensation or mould growth, for the given occupancy    conditions."
3758,Technical solutions to minimize condensation risk depend on the wall type.
3759,"1) Curtain wall, skylight, doors and windows can incorporate thermal breaks in the    glazed framed systems."
3760,2) Roofs and solid external walls can include a vapour resistance layer.
3761,3)    Interfaces and junctions between different elements of the building envelope  (such as windows) can ensure continuity of the vapour resistance layer by  extending and overlapping the vapour resistance layer between elements.
3762,NOTE: BS 5250 gives further guidance on control of condensation in buildings.
3763,"While  the guidance provides principles to control condensation, some commentary and  forms of construction given in the annexes might not be applicable to Dubai climate."
3764,"E 22    Dubai Building Code    Part E: Building envelope     E.9    Protection from falling, collision and impact    E.9.1    Protection against impact with glazing    Safety glazing shall be installed in critical locations in doors, side panels and low level  glazing, as shown in Figure E.11 and Figure E.12."
3765,"Figure E.11 Safety glazing at door and adjacent areas (© Crown Copyright, 2013."
3766,"Figure based on Diagram  5.1 of the Building Regulations (2010), Approved Document Part K, 2013 Edition."
3767,"Contains public sector  information licensed under the Open Government Licence v3.0)    Key  01: FFL    E 23    0  0  8    01    Key  01: FFL    Figure E.12 Safety glazing at windows (© Crown Copyright, 2013."
3768,"Figure based on Diagram 5.1 of the Building  Regulations (2010), Approved Document Part K, 2013 Edition."
3769,"Contains public sector information licensed  under the Open Government Licence v3.0)    In accordance with the Section 5, Ch."
3770,1 of UAE FLSC [Ref.
3771,"E.1], safety glazing for use  in critical locations shall conform to the minimum classifications in either Table E.9 or  Table E.10."
3772,Critical location    Height    Classification in test standard  BS EN 12600    Low level areas    All heights    Doors    Below 900 mm from FFL    Doors side panel    Above 900 mm from FFL    Class 1    Class 2    Class 3    Table E.9 Minimum classification for safety glazing    Area of glazing in critical  location (m2)    Classification in test standard    ANSI Z97.1    CPSC 16 CFR 1201 [Ref.
3773,"E.9]    ≤0.9    >0.9    A    B    Table E.10 Minimum classification for safety glazing    I    I    Dubai Building Code    Part E: Building envelope     E.9.2    Containment    E.9.3    Manifestation    Glazing at areas lower than 800 mm from FFL and protecting a change in level  greater than 760 mm shall provide containment, as shown in Figure E.13."
3774,Transparent glazing in the following locations shall incorporate manifestation  features:    800    a) adjacent to doors;    b) in doors without frames or handles; and    c) in other areas where occupants might inadvertently come into contact with the    glazing.
3775,"The manifestation shall:    1) be located between 750 mm and 1,500 mm above FFL;    2) occupy a minimum of 50% of the area horizontally at each 900 mm width    interval, with minimum 50% opacity; and    3) contain visual elements of any type of bands or marks (such as logos and artistic    02    illustrations)."
3776,"01    The manifestation should be permanent if possible, e.g."
3777,"etching of the glazing, but  alternatively, if applied materials are used, they should be durable and not easily  removed."
3778,">760    Manifestation and visual detection elements are not required in the following cases:    Key  01: Internal FFL  02: External FFL    i) where a glass surface is less than 500 mm wide;    ii) where the glass surface does not extend more than 850 mm above FFL;    iii) where a fixed element in front of the glass surface blocks the entire approaching    Figure E.13 Examples of glazed areas that need to provide containment    space; and    iv) where façade glazing is in upper floors with no access from outside, and where    there is no possibility of a user confusing it with access glazing."
3779,"If a glazing panel covers areas above and below 800 mm from FFL, the entire glazing  panel shall provide containment."
3780,E 24    Dubai Building Code    Part E: Building envelope     E.9.4    Safe opening and closing of windows    E.9.5    Overhead glazing    Sliding and operable windows shall be located at a height not less than 900 mm from  FFL.
3781,Overhead glazing shall be laminated.
3782,"It shall include a post-breakage containment  system, such that if the glass breaks, the glass is held in place until it can be replaced."
3783,Operable windows shall be restrained to limit the opening to 100 mm to prevent falls.
3784,There shall not be any construction features at the bottom of the window that can be  exploited as a ladder or climbing feature.
3785,The safety and fragility of overhead glazing shall be determined in accordance with  CWCT TN 66 [Ref.
3786,E.10].
3787,Overhead glazing shall be tested in accordance with CWCT TN 67 [Ref.
3788,E.11].
3789,"Operable windows, skylights and ventilators shall be constructed or equipped such  that they can be opened, closed and adjusted safely."
3790,"Wherever practicable, the height  of controls or handles shall be in accordance with Part C as indicated in Figure E.14."
3791,"If controls or handles cannot be positioned as indicated in Figure E.14, a manual or  electrical means of remote operation shall be provided in that location instead."
3792,"Figure E.14 Height of controls or handles    Key  01: FFL    E 25    Dubai Building Code    Part E: Building envelope     E.10.4    Fire testing of non-fire resistance rated, non-loadbearing  façades and aesthetic features/mashrabiya    The requirements in Section 4.2.1, Ch."
3793,1 of UAE FLSC [Ref.
3794,"E.1] shall be met, with  the following amendments."
3795,"a) The exceptions listed in Section 4.2.1, Ch."
3796,1 of UAE FLSC [Ref.
3797,"E.1] are expanded    to include concrete, terracotta, glass, ceramics and mineral wool."
3798,"b) In addition to the materials listed in Section 4.2.1, Ch."
3799,1 of UAE FLSC [Ref.
3800,"E.1],    solid metal panels conforming to E.10.5 may be used."
3801,"The requirements in Section 4.5, Ch."
3802,1 of UAE FLSC [Ref.
3803,"E.1] shall be met, with the  following amendments."
3804,1) Steel flashing is not required around window openings.
3805,2) Flashing shall match the flashing included in the NFPA 285 fire test(s) forming    the basis of the fire safety design(s) of the façade.
3806,E.10 Fire safety    E.10.1    General    The fire safety of the façade and roof elements of the building envelope shall conform  to Ch.
3807,1 of UAE FLSC [Ref.
3808,E.1] and the specific requirements of this section.
3809,"To prevent external fire spread, the building shall be physically separated from  adjacent plots/buildings or the building envelope shall be fire resistance rated (see  Sections 2.7 and 2.8, Ch."
3810,1 of UAE FLSC [Ref.
3811,E.1]).
3812,"The requirements for guardrails and balustrades as described in Section 2.17, Ch."
3813,1  of UAE FLSC [Ref.
3814,E.1] are superseded by B.4.2.5.2.
3815,"The requirements for safety glazing in Sections 5.4.2 to 5.4.4, Ch."
3816,1 of  UAE FLSC [Ref.
3817,E.1] are superseded by E.9.
3818,"E.10.2    Sprinklers    Sprinklers on balconies, as mentioned by Ch."
3819,9 of UAE FLSC [Ref.
3820,"E.1], are not  mandated by Dubai Civil Defence (DCD), provided that the materials of construction  of the balcony conform to Ch 1. of UAE FLSC [Ref."
3821,E.1].
3822,"Sprinklers on the inside of rainscreen/glazing/curtainwall, as mentioned by  Ch."
3823,9 of UAE FLSC [Ref.
3824,"E.1], are not mandated by DCD."
3825,"E.10.3    Spandrels    The fire resistance rated spandrel required by Section 2.8.10, Ch."
3826,1 of  UAE FLSC [Ref.
3827,"E.1] may be less than 915 mm, provided that the perimeter barrier  system in Section 3.2.4d is tested, certified and listed with the intended spandrel  specifications, complete with installation guidelines."
3828,"E 26    Dubai Building Code    Part E: Building envelope       Occupancy and  type of building    Fire testing required for solid  metal panel    Any building with  any height and any  occupancy    Panel shall be tested in the  thickness intended to be used,  including any coatings to  BS EN 13501-1 with pass criteria  A1 or A2-s1-d0."
3829,"Fire testing required for façade assembly    ASTM E119    with pass criteria 1 h or 2 h or 3 h as per  required fire rating of the wall    or    UL 263    with pass criteria 1 h or 2 h or 3 h as per  required fire rating of the wall    or    BS EN 1364-3    with pass criteria 1 h or 2 h or 3 h as per  required fire rating of the wall    or    BS EN 1364-4    with pass criteria 1 h or 2 h or 3 h as per  required fire rating of the wall    Table E.12 Fire test requirements for solid metal panel on a fire resistance rated exterior wall assembly    E.10.5    Solid metal panels    Solid metal panels (including any coatings) shall conform to Sections 4 to 7, Ch."
3830,1  of UAE FLSC [Ref.
3831,E.1].
3832,They shall also achieve the fire safety classifications and fire  safety performance criteria shown in Table E.11 to Table E.13 where applicable.
3833,"Fire testing required for solid  metal panel    Panel shall be tested in the  thickness intended to be used,  including any coatings to  BS EN 13501-1 with pass criteria  A1 or A2-s1-d0."
3834,"Occupancy and  type of building    Super high-rise  buildings    High-rise buildings    Malls    Theme parks    Schools    Hospitals    Assembly    Low-rise buildings    Mid-rise buildings    Warehouses    Industrial    Panel shall be tested in the  thickness intended to be used,  including any coatings to  BS EN 13501-1 with pass criteria  B-s1-d0."
3835,Fire testing required for façade assembly    BS 8414-1 or BS 8414-2    with pass criteria in accordance with  BR 135 [Ref.
3836,E.12]  or    NFPA 285 with pass criteria “pass”    or    FM 4881 with pass criteria “pass”    or    ISO 13785-2 with pass criteria “pass”    BS 8414-1 or BS 8414-2    with pass criteria in accordance with  BR 135 [Ref.
3837,"E.12]  or    NFPA 285 with pass criteria “pass”    or    FM 4881 with pass criteria “pass”    or    ISO 13785-2 with pass criteria “pass”    Table E.11 Fire test requirements for solid metal panels on non-fire resistance rated and non-load-bearing  building envelope and aesthetic features/mashrabiya    E 27    Dubai Building Code    Part E: Building envelope     Interior or under deck fire exposure to  roofing assemblies    E.10.6  assemblies    Fire resistance rated glazing    Fire resistance rated glazing assemblies shall conform  to Sections 5.3 and 5.4, Ch."
3838,1 of UAE FLSC [Ref.
3839,E.1].
3840,"E.10.7    Roof assemblies    Roof assemblies shall conform to the performance  requirements of Section 6, Ch."
3841,1 of  UAE FLSC [Ref.
3842,E.1].
3843,"They shall have the fire resistance  periods specified in Section 6, Ch."
3844,1 of  UAE FLSC [Ref.
3845,E.1].
3846,"E.10.8    Roof and façade assemblies    Materials used both on the façade and the roofing shall  be fire tested in both configurations in accordance with  Sections 4 and 6, Ch."
3847,1 of UAE FLSC [Ref.
3848,E.1].
3849,"If the roof is not horizontal then it shall be fire tested  as a façade system in accordance with Section 4, Ch."
3850,1  of UAE FLSC [Ref.
3851,E.1].
3852,"FM 4450 with pass criteria Class I    or    UL 1256 with pass criteria ""pass""    Structural metal panel roof systems shall be  tested with FM 4471    Roof systems with modified bitumen and  other types of membrane roof systems shall  be tested with FM 4470    Applications    Roofing in sprinklered buildings    Roofing in buildings protected with fire  suppression systems."
3853,Roofing in non-sprinklered buildings    Roofing in buildings without fire  suppression.
3854,Exterior fire exposure to  roofing assemblies    NFPA 256  with pass criteria Class B    or    ASTM E108  with pass criteria Class B    or    BS EN 13501-5  with pass criteria Class BROOF(t4)    or    UL 790  with pass criteria Class B    NFPA 276  with pass criteria Class 1    or    Roofing in buildings less than 6 m from an  adjacent building.
3855,"ASTM E108  with pass criteria Class A    Roofing in malls, assembly, hospitals and  educational."
3856,"or    BS EN 13501-5  with pass criteria Class BROOF(t4)    or    UL 790  with pass criteria Class A    or    FM 4470 or FM 4471  with pass criteria “Pass”    Table E.13 Fire test requirements for solid metal panel in roofing    E 28    Dubai Building Code    Part E: Building envelope     E.11 Screening of building equipment    In accordance with B.10.2, all outdoor mechanical equipment (including antennas,  rooftop equipment and refuse storage areas) should be concealed from public view by  solid walls, screens, fences, parapets, enclosing structures or landscaping."
3857,"E.10.9    Signboards and billboards    Signboards and billboards on façades shall conform to Section 4, Ch."
3858,1 of  UAE FLSC [Ref.
3859,E.1].
3860,"When the cumulative surface area of signboards/billboards on a façade is greater  than 50 m2, or the signboard/billboard straddles more than one storey, then they  shall be fire tested as part of the façade system in accordance with Section 4, Ch."
3861,1 of  UAE FLSC [Ref.
3862,E.1].
3863,"E.10.10 Solar panels    Photovoltaic (PV) cells or panels installed on roofs or façades shall conform to  Section 2.2, Ch."
3864,14 of UAE FLSC [Ref.
3865,E.1].
3866,"If PV panels are attached to or integrated  with the façade then they shall also be tested in accordance with Section 4, Ch."
3867,1 of  UAE FLSC [Ref.
3868,E.1].
3869,E 29    Dubai Building Code    Part E: Building envelope     E.12 Maintenance    E.12.1    General    A method of safely maintaining the building envelope shall be provided.
3870,Manually  operated systems (e.g.
3871,rope access) or power operated systems (e.g.
3872,cleaning cradles)  and building maintenance units (BMUs) shall conform to E.12.
3873,E.12.2    Rope access    Rope access or abseiling systems shall have permanent dedicated fixed anchors.
3874,E.12.3    Imposed loading    Loading of permanent building maintenance equipment attached to either roof or  façades shall be included as permanent fixture loading (see E.4.1.3).
3875,"E.12.4    Cable stabilization and anchors    Hanging lifelines and all untensioned cables of the working platform shall be  stabilized when vertical travel exceeds an initial 61 m, and at further intervals of  61 m or less."
3876,"Hanging cables, other than suspended wire ropes, that are in constant  tension shall be stabilized when the vertical travel exceeds an initial 183 m distance,  and at further intervals of 183 m or less."
3877,The building anchors and components of the intermittent stabilization system shall  be capable of sustaining without failure at least four times the maximum anticipated  load applied or transmitted to the anchors and components.
3878,"The design wind load for  each anchor shall be not less than 1,334 N or the design wind load of the building,  whichever is higher."
3879,"If there are two anchors on one attachment point, the wind load may be shared."
3880,The building anchors and stabilizer ties shall be capable of sustaining anticipated  horizontal and vertical loads from winds which might act on the platform and wire  ropes if the platform is stranded on a building face.
3881,"If the building anchors have  different spacing to that of the suspension wire rope, or if the building requires  different suspension spacings on one platform, one building anchor and stabilizer tie  shall be capable of sustaining the wind loads."
3882,Building anchors that extend beyond the face of the building shall be free of sharp  edges or points.
3883,"Where cables, suspension wire ropes and lifelines might be in contact  with the building face, external building anchors shall not interfere with their handling  or operation."
3884,"Tie-down anchors fasteners, and affected structures shall be resistant to corrosion."
3885,E.12.5    Power circuit and operation    The equipment power circuit of power-operated systems shall be an independent  electrical circuit.
3886,It shall remain separate from all other equipment within or on the  building (other than power circuits for hand tools that will be used in conjunction  with the equipment).
3887,"The equipment power circuit may be connected to an emergency power system, if  the building has one."
3888,The power circuit shall be provided with a disconnect switch  that can be locked in the “OFF” and “ON” positions.
3889,The switch shall be located in  the primary operating area of the equipment in a convenient position to allow the  operators of the equipment access to the switch.
3890,The disconnect switch for the  power circuit shall be locked in the “ON” position when the equipment is in use.
3891,An effective two-way voice communication system shall be provided between the  equipment operators and persons stationed within the building being serviced.
3892,The  communications facility shall be operable and shall always be manned by persons  stationed within the building whenever the equipment is being used.
3893,E 30    Dubai Building Code    Part E: Building envelope     E.12.6    Protection from impact on building envelope    Hard or sharp components of the maintenance equipment shall be covered with soft  protection to prevent the building envelope from being impacted.
3894,The energy impact that the maintenance equipment or operator might exert on  the building envelope shall be calculated.
3895,The building envelope shall be capable of  withstanding applied or transferred impacts that might occur during maintenance  without sustaining damage that is not repairable and without deterioration of its  performance.
3896,NOTE: CWCT TN 96 [Ref.
3897,E.13] gives guidance to assess cradle and suspended  access equipment loads.
3898,E.12.7    Health and safety    E.12.7.1  Rope access systems shall follow safety guidelines such as IRATA [Ref.
3899,E.14].
3900,Rope access    A back-up fall arrest system shall be provided.
3901,Back-up fall arrest system may be achieved by using two ropes: a working line and a  safety line.
3902,Power-operated systems    E.12.7.2  Means shall be provided to traverse all carriages and their suspended equipment to  a safe area for maintenance and storage.
3903,"The working platform shall, as part of its  normal operation, be capable of being lowered to a safe surface for access and egress  of the personnel."
3904,The working platform shall be provided with a safe means of access  and egress to the lower safe surface.
3905,The following non-exhaustive list of safety features shall be included before  installation of building maintenance unit/glass cleaning cradle:    a) provisions in case of power failure;    b) overload safety device;    c) wire rope equalizer limit switch;    d) emergency stop;    e) secondary brake with over-speed protection (mechanical);    f) slack rope device;    g) lanyard restraint trip assembly;    h) rotational slew limits;    i) factor of safety for wire rope;    j) cradle details (i.e.
3906,"anti-collision bar, handrail/mid rail height, etc."
3907,);    k) horizontal traversing wheel locking device; and    l) working environment (i.e.
3908,"weather conditions such as temperature, humidity, wind    speed, etc.)."
