,Sentences
31,"    Consultant: Physical or legal person in charge  of providing consulting advice during design or  construction, or both and licensed to practise  consulting in Dubai in accordance with the applicable  legislation."
32,    Contractor: Physical or legal person in charge of  carrying out construction works and licensed to  practise contracting activities in Dubai in accordance  with the applicable legislation.
33,"    Developer: Person or entity who prepares land for  building sites, constructs buildings, creates residential  subdivisions or private enterprises, and rehabilitates  existing buildings."
34,"    Development: General term for the construction,  erection or placing of a building or structure; the  making of an addition or alteration to a building or  structure; a significant change in use or in intensity of  use of any building or structure."
35,"    Development control regulations (DCR): Document  that shows planning regulations (such as height,  land use, area, setbacks, building lines) for the full  development, and each plot in a subdivision plan, as  issued by the relevant planning Authority or master  developer."
36,"    Engineer: Physical or legal person in charge of  designing or supervising construction works, or both,  and licensed to practise the engineering profession in  Dubai in accordance with the applicable legislation."
37,"    Existing building: Building that is completed, including  commissioning and handover."
38," The DBC applies to  renovation, modification, reconstruction, addition to, or  change of use of an existing building."
39,    Floor area ratio (FAR): Ratio of gross floor area (GFA)  to plot area.
40,    Gross area (GA): Floor area within the inside perimeter  of the exterior walls of a building.
41," The measurement  excludes shafts and courtyards, but includes corridors,  stairways, ramps, closets, base of atria (or similar  voids) and the thickness of interior walls, columns or  other features."
42,"    A 3    Dubai Building Code    Part A: General     Gross floor area (GFA): Measurement used by  Planning Authorities in Dubai to define the floor area  ratio (FAR), where FAR is the ratio of GFA to plot area."
43,"  The building GFA is the sum of the GFA of all floors,  measured to the exterior surface of the external wall  thickness and from the centrelines of the common  walls joining two spaces."
44," The measurement excludes  external wall features such as corniches, brackets, and  façade cladding materials."
45,"    Habitable space: Space in a building for living, sleeping  or eating involving occupancy for continuous period of  time."
46," Bathrooms, toilet rooms, closets, halls, storage  or utility spaces and similar areas are not habitable  spaces."
47,    Heritage building: New or existing building in a  heritage area.
48, The heritage department of the  Authority controls the elevation design and façade  treatment of buildings in these areas.
49,    Historical building: Existing building of historical  importance where the original character of the building  is to be retained.
50,"    Masterplan: Comprehensive plan to guide the long-  term physical development of a specific area based  on identified objectives, strategies, and timelines  for implementation."
51," Includes plans for land use,  community facilities and utilities, transportation of  goods and people, and energy use and conservation."
52,  Zoning ordinances and policies are developed for  different areas or zoning districts based on the  masterplan.
53,"    A 4    Modification: Fit-out of a space or unit, or change to a  service system or building element."
54,    Plot area: Total area of a plot between its boundary  lines as measured on a horizontal plane.
55,"    Net area (NA): Actual occupied area, not including  unoccupied accessory areas such as corridors,  stairways, ramps, toilet rooms, mechanical rooms and  closets."
56,"    Occupiable space: Room or enclosed space designed  for human occupancy in which individuals congregate  for amusement, labour, educational or similar purposes."
57,"    Owner: Any person, entity, firm or corporation having  any legal or equitable interest in the property in whose  name the plot or building is registered as Owner,  including persons who have a long-term lease for a  specified period; the Main or Sub-Developer in relation  to unsold lands and buildings."
58,"    Performance-based design: Design that follows  prescriptive design requirements, but an aspect(s)  of which is based on an alternative solution that is  equivalent to or better than the prescriptive design  requirements."
59,"    Plot: Area of land that is:  a) clearly defined (by landmarks, coordinates, distinct  number, and the lengths of its sides and location);    a) intended for construction under any approved plan  or division project, or by any other method; and    a) legally authorized to be used for construction or    building as one unit."
60,    Prescriptive design: Design that meets the  requirements entirely.
61,"    Project: Construction of a permanent building, or any  other civil work on a leased property including any  modifications or installations in pre-built facilities."
62,    Reconstruction: Modification that is not standalone.
63," It  affects adjacent egress routes or systems that are not  part of the reconstructed area, such that a larger part  of the building might need to be closed down or not  occupied for a period of time."
64,    Renovation: Change to linings/finishes or  strengthening of structure.
65, It does not involve any  reconfiguration of internal spaces.
66,    Townhouse: Multiple villas connected by one or more  walls to a series of similar villas.
67,    Villa: Separate building located on a separate plot  allocated with all its floors for the dwelling of one  single family and an independent car parking space in  addition to independent external open space.
68,    Dubai Building Code    Part A: General     A.
69,3    References    NOTE: This section gives references that apply throughout the DBC.
70, Each Part also  has a section for references specific to that Part.
71,    Ref.
72, A.
73,"1 UAE MINISTRY OF THE INTERIOR GENERAL COMMAND OF CIVIL  DEFENCE, 2018."
74, UAE Fire and Life Safety Code of Practice (UAE FLSC).
75, United Arab  Emirates: Ministry of the Interior General Command of Civil Defence.
76,    Ref.
77, A.
78,"2 GOVERNMENT OF DUBAI, 2017."
79, Dubai universal design code.
80, Dubai:  Government of Dubai.
81,    Ref.
82, A.
83,"3 DUBAI HEALTH AUTHORITY, 2012."
84, Regulations (various).
85, Dubai: Dubai  Health Authority.
86, Available at:  www.
87,dha.
88,gov.
89,ae/en/HealthRegulation/Pages/FacilityRelated.
90,aspx.
91,    Ref.
92, A.
93,"4 DUBAI HEALTH AUTHORITY, 2019."
94, DHA Health facility guidelines – Part A  to Part F.
95, Dubai: Dubai Health Authority.
96, Available at:  www.
97,dubaitourism.
98,gov.
99,ae/en/services.
100,    Ref.
101, A.
102,"5 DEPARTMENT OF TOURISM AND COMMERCE MARKETING, 2019."
103," DTCM  Hotel classification criteria for hotels, guest houses and hotel apartments."
104, Dubai:  DTCM.
105, Available at: classification.
106,dubaitourism.
107,ae.
108,    Ref.
109, A.
110,6 DUBAI CIVIL AVIATION AUTHORITY Application for a no-objection  certificate to construct a building (above and below 300 m) in Aviation Easement  areas.
111, Dubai: DCAA.
112, Available at:  www.
113,dcaa.
114,gov.
115,ae/services/building-constructions/construct-building.
116,    Ref.
117, A.
118,"7 GREAT BRITAIN, 2015."
119, The Construction (Design and Management)  Regulations.
120, London: The Stationery Office.
121,    A 5    Dubai Building Code    Part A: General     A.
122,3.
123,1  ASCE    Acronyms and abbreviations  American Society of Civil Engineers    building information modelling    British Standard European Norm    chapter    RTA    SI    SIRA    TRA    Roads and Transport Authority    International system of units    Security Industry Regulatory Agency    Telecommunications Regulatory Authority    A.
124,3.
125,2  May    Shall    Should    Verbal forms used within the DBC    The associated text is permitted    The associated text is mandatory    The associated text is recommended    BIM    BS EN    Ch.
126,"    DTCM    DBC    DCAA    DCR    DDA    DEWA    DHA    DM    DLTM    DSOA    Department of Tourism and Commerce  Marketing    Trakhees    Department of Planning and Development –  Ports Customs and Freezone Corporation    Dubai Building Code    UAE FLSC    UAE Fire and Life Safety Code of Practice    Dubai Civil Aviation Authority    Development Control Regulations    Dubai Development Authority    Dubai Electricity and Water Authority    Dubai Health Authority    Dubai Municipality    Dubai Local Transverse Mercator    Dubai Silicon Oasis Authority    Emicool    Emirates District Cooling LLC    Empower    Emirates Central Cooling Systems Corporation    floor area ratio    ground floor    gross area    gross floor area    Islamic Affairs and Charitable Activities  Department    Knowledge and Human Development Authority    mechanical, electrical and plumbing    net area    FAR    G    GA    GFA    IACAD    KHDA    MEP    NA    A 6    Dubai Building Code    Part A: General     A."
127,4    Relationship of DBC to other local and international regulations    A.
128,4.
129,"2    International codes and standards    The DBC relies on international codes and standards,  mainly BS EN and American codes."
130, These codes and  standards shall be used in their latest edition except  where the DBC lists an edition.
131,"    NOTE: As an example, Part F (Structures) mandates  the 2016 edition of ASCE/SEI 7."
132,    An edition is mandated in the DBC for one of two  reasons.
133,"    a) The DBC refers to sections, tables and figures  within that version of the international code or  standard and therefore the cross-references might  not apply to later editions."
134,    b) The edition has been reviewed for its applicability    to Dubai.
135,    A.
136,4.
137,"1    Local regulations    The DBC incorporates, unifies and replaces the  regulations related to building design published  by Dubai Municipality (DM), Dubai Development  Authority (DDA), Department of Planning and  Development – Ports Customs and Freezone  Corporation (Trakhees) and Dubai Silicon Oasis  Authority (DSOA)."
138,    Regulations related to building design by Dubai  Electricity and Water Authority (DEWA) and Islamic  Affairs and Charitable Activities Department (IACAD)  are incorporated or cross-referenced by the DBC.
139,    Regulations related to building design by the Security  Industry Regulatory Agency (SIRA) are summarized  and cross-referenced in Part J.
140,    Federal regulations also remain in place.
141, The DBC  follows the Federal regulations of Telecommunications  Regulatory Authority (TRA) and the Ministry of  Interior Civil Defence.
142, The TRA regulations are given in  G.
143,11.
144, The UAE Fire and Life Safety Code (UAE FLSC)  [Ref.
145, A.
146,1] is cross-referenced throughout the DBC.
147,    Accessibility requirements of the Dubai Universal  Design Code [Ref.
148, A.
149,2] applicable to building design  are incorporated in Part C and replace these aspects of  the Dubai Universal Design Code.
150,    The Dubai Health Authority (DHA) regulations  [Ref.
151, A.
152,3 and Ref.
153, A.
154,"4], along with the relevant Federal  regulations, shall be followed for the design of all  healthcare facilities."
155,"    A 7    The Department of Tourism and Commerce Marketing  (DTCM) sets out the requirements to achieve star  ratings for hotels, resorts, hotel apartments and  guest houses [Ref."
156, A.
157,5].
158, Achieving the minimum  requirements of the DBC does not guarantee a rating  from DTCM.
159, DTCM should be consulted at the earliest  stage of design.
160,"    The Knowledge and Human Development Authority  (KHDA) and the Ministry of Education both license  education facilities, but they do not provide separate  design requirements."
161, Education facilities are approved  by the main Authorities in accordance with the DBC.
162,    Roads and Transport Authority (RTA) regulations in  relation to the right of way are referenced by the DBC  as appropriate.
163,    Dubai Civil Aviation Authority (DCAA) regulates  maximum building heights within the flight path.
164,"    Regulations related to permitting, procedures,  construction and design of non-building elements  such as infrastructure, transportation systems, and  the public realm remain, and can be obtained from, the  relevant Authority."
165,    Planning development regulations published by  Developers or Planning Authorities are not replaced  by the DBC.
166," The DBC contains planning regulations  in Part B, but these shall be followed only where  plot-specific planning development regulations are  unavailable."
167,    Dubai Building Code    Part A: General     A.
168,4.
169,3    Hierarchy of codes and standards    A.
170,4.
171,"4    Safe by design    The principle of “safe by design” requires the  Consultant to address the health and safety of all  occupants, Contractors and users of the building."
172,"  This includes Contractors, maintenance staff,  occupants, visitors and demolition teams throughout  the building lifecycle."
173,"    This process is documented in a risk register where  the Consultant acknowledges the risk, investigates  mitigation measures and provides a design solution  which reduces the risk to a practicable level, while also  taking account of cost, constructability, other project  goals, etc."
174,"    Safe by design principles are not mandated by the  first edition of the DBC, but are likely to be enforced  in future revisions."
175, Consultants should familiarize  themselves with these principles by reference to the  Construction Design and Management Regulations  [Ref.
176, A.
177,7].
178,    The hierarchy of the adopted codes and standards is  defined as follows.
179,    a) The DBC and UAE Fire and Life Safety Code of    Practice (UAE FLSC) [Ref.
180, A.
181,1] together form the  main regulations for building design in Dubai.
182, The  UAE FLSC is referenced throughout the DBC.
183,    b) The DBC follows the SIRA regulations for    the design of security.
184, These regulations are  summarized and referenced in Part J.
185,    c) The DBC follows the Federal regulations of TRA  for the design of telecommunications.
186, These  regulations are documented in G.
187,11.
188,"    d) The international codes and standards for design,  material and product specification listed under the  heading of “Essential references” in each Part, and  referenced in the relevant sections of each Part, are  also requirements of the DBC."
189,    e) Documents listed under the heading of “Further    reading” in each Part are provided for information  as useful guides to building design.
190,"    Where there is conflict between the DBC and reference  model codes or standards, the most restrictive/highest  performance requirements shall be met."
191,    Where there is a conflict between a general  requirement and a specific requirement of the DBC  or its referenced codes/standards then the specific  requirement applies.
192,    A 8    Dubai Building Code    Part A: General     A.
193,5    Scope and application of the DBC    A.
194,5.
195,1    General    The DBC applies to new buildings and changes to existing buildings as described in  Table A.
196,"1, except where an alternative solution is permitted (see A."
197,8).
198,    The DBC applies to the occupancies and use types described in Table A.
199,2.
200,"    Occupancy    Assembly    Business    Educational    Use    Amusement park, theatre, cinema, restaurant, museum, art gallery, place of  worship, library, exhibition and conference centre, etc."
201,"    Office, professional services, government centre, post office, bank, etc."
202,"    University, college, school, kindergarten, nursery, educational institute    Hotel establishment    Hotel, resort, guesthouse, hotel apartment    Residential    Apartment, studio, student accommodation, labour accommodation, staff  accommodation    Parking    Retail    Mall    Industrial    Storage    Villas and townhouses    Open, enclosed, mechanical    Shopping centre, department store, shop, kiosk, showroom, stores    Open mall, enclosed mall    Factory, workshop    Warehouse    Table A."
203,2 Occupancies and use types    Change to an  existing building    Renovation    Description    Applicable codes    Change to linings/finishes or  strengthening of structure.
204, It does not  involve any reconfiguration of internal  spaces.
205,    DBC and UAE FLSC [Ref.
206, A.
207,1] apply  to interior finish changes or building  envelope changes.
208,"    Modification    Fit-out of a space/unit, or change to a  service system or building element."
209,    DBC and UAE FLSC [Ref.
210, A.
211,1] apply to  the fit-out or change.
212,    Reconstruction    Modification that is not stand-alone.
213,  It affects adjacent egress routes  or systems that are not part of the  reconstruction area such that a larger  part of the building might need to  be closed down or not occupied for a  period of time.
214,    Change of use    Change of use or occupancy of part or  all of the building.
215,    DBC and UAE FLSC [Ref.
216, A.
217,1] apply  to the reconstruction and any areas of  the building which are impacted by the  reconstruction.
218,    DBC and UAE FLSC [Ref.
219, A.
220,"1] apply  to the change of use and any areas of  the building which are impacted by the  change of use, e."
221,g.
222," existing exit stairs  and routes, vertical transport, quantity  and type of sanitary provisions."
223,"    Addition    An increase in the building’s gross area  or built-up area, and/or height or depth."
224,    DBC and UAE FLSC [Ref.
225, A.
226,1] apply to  the addition.
227,"    If the addition relies on the remainder of  the existing building for escape, vertical  transport, etc."
228,", the existing building  shall also be assessed against the DBC  and UAE FLSC [Ref."
229, A.
230,1].
231,    Table A.
232,"1 Existing building and application of the DBC    A 9    Dubai Building Code    Part A: General     The DBC does not apply to:    a) infrastructure such as road and rail bridges, tunnels, culverts, metro stations,    hydraulic structures, buried and overhead utilities, power stations, antennas and  masts, wind turbines and nuclear facilities;    b) marine structures such as canals, dams, dikes, levies, piers, jetties and wharves;    c) oil and gas structures such as petrochemical facilities, oil refineries, liquefied    natural gas terminals, oil platforms and tanks;    d) structures such as tents, cranes, storage racks, scaffolding, formwork and    A."
233,5.
234,2    Floor area and building height definitions in DBC    Gross floor area (GFA)    A.
235,5.
236,2.
237,"1  Gross floor area (GFA) is used by Planning Authorities in Dubai to define the floor  area ratio (FAR), where FAR is the ratio of GFA to plot area."
238," The building GFA is the  sum of the GFA of all floors, measured to the exterior surface of the external wall  thickness and from the centrelines of the common walls joining two spaces."
239," The  measurement excludes external wall features such as corniches, brackets, and façade  cladding materials."
240,    falsework;    GFA is calculated based on Table A.
241,3.
242,"    e) structures subject to specific loading conditions such as stadia, grandstands, silos    and chimneys."
243,    GFA might be in development control regulations (DCR).
244, Consultants shall calculate  GFA using the DBC definition and Table A.
245,1 unless GFA is stated in the DCR.
246,    The DBC does not apply to historical buildings where the original character of the  building is to be retained.
247, Buildings considered to be historical shall conform to the  guidelines of the relevant Authority as appropriate.
248,    Buildings in heritage areas or considered to be heritage buildings shall follow the  DBC.
249, The heritage department of the Authority controls the elevation design and  façade treatment.
250,    Villas and townhouses are addressed in Part K.
251,"    A 10    Dubai Building Code    Part A: General     Space or area    Included or excluded in GFA    Space or area    Included or excluded in GFA    Storage on ground and above    Prayer room and ablution area    Gym with gross area ≤50% of roof area    Gym with gross area >50% of roof area    Swimming pools (indoor and outdoor) including  services (showers, toilets, lockers, changing  rooms, etc."
252,")    Arcades (open, non-air conditioned)    Base of double height volumes and atria    Void of double height floors and atria    Floor voids    Terraces    Balconies    Included    Excluded    Excluded    The gross area of the gym exceeding 50% is  included*    Excluded    Excluded    Included    Excluded    Excluded    Excluded    Excluded    NOTE: * This rule is associated with the roof area but it applies to gyms located anywhere in the  building."
253,    Habitable and occupiable spaces including  sanitary facilities    Mezzanine floors    Lobbies    Corridors    Stairs    Basements in buildings other than villas    Basements in villas    Attic spaces    Parking    Parking lobbies    Internal roads    Loading areas    Mechanical and service rooms    Mechanical ducts    Elevator shaft at elevator recall floor    Elevator shafts at other floors    Elevator machine rooms    Included    Included    Included    Included    Included    Habitable and occupiable spaces including  sanitary facilities to be included    Excluded    Attic spaces less than 2.
254,"15 m height and used for  services only to be excluded    Excluded    Excluded    Excluded    Excluded    Excluded    Excluded    Included    Excluded    Excluded    Mechanical, electrical and plumbing plant floors    Excluded    Excluded    Excluded    Excluded    Excluded    Shafts    Refuse chutes    Waste rooms    Storage below ground    Table A."
255,3 Areas included in GFA    A 11    Dubai Building Code    Part A: General     Built-up area    A.
256,5.
257,2.
258,2  Built-up area is used also by Planning Authorities.
259," It  is defined as the total constructed area in a building  or structure measured from the external walls of the  building, inclusive of balconies, terraces and other  projections as well as any other covered spaces such  as covered parking structures, circulation corridors,  loading/unloading bays, basements, service floors,  indoor swimming pools and any other permanent  structures on the plot."
260," Calculation of total built-up area  shall exclude the following:    a) shafts, courtyards and yards including mechanical,    electrical and plumbing (MEP) shafts, refuse chutes  and similar;    16    18    17    06    01    02    03    05    04    08    07    11    05    09    12    14    15    b) non-covered outdoor landscape and hardscape    06    10    13    surfaces and courtyards;    c) lightweight outdoor shading structures such as    pergolas and standalone canopies."
261,    An example calculation using a sample plan is shown in  Figure A.
262,1.
263,    Figure A.
264,1 Total built-up area (highlighted areas are included in area definition)    Key  01: Gym  02: Lobby  03: Ballroom  04: Prayer room  05: MEP  06: Corridor    07: Staff toilets  08: Staff  09: Meeting room  10: Service corridor  11: Electrical  12: Restaurant    13: Back-of-house  14: Kitchen  15: Service block  16: Pergolas  17: Parking canopy  18: Plot limit    A 12    Dubai Building Code    Part A: General     Gross area and net area    A.
265,5.
266,2.
267,3  The terms “gross area” (GA) and “net area” (NA) are  used by the DBC to calculate occupant load in a floor  or space.
268, They are defined in A.
269,2 and further described  and illustrated in Part B.
270,    Building height    A.
271,5.
272,2.
273,"4  Building height is a key variable that is checked by  the Authorities for compliance with the DBC, DCR/  affection plans, UAE FLSC [Ref."
274, A.
275,"1] and, where  applicable, DCAA restrictions on building heights  located in Aviation easement areas due to overhead  flight paths."
276,    Each definition of building height is slightly different  as they are used to regulate different issues.
277," For this  reason, Consultants shall check building height against  the DBC, DCR/affection plans, UAE FLSC [Ref."
278, A.
279,"1]  and, where applicable, DCAA regulations [Ref."
280, A.
281,6].
282,    A 13    Dubai Building Code    Part A: General     Part H  Indoor environment    Part D  Vertical transportation    Part F  Structure    A.
283,6 Navigating the DBC    A.
284,6.
285,1    Division into Parts    The DBC is divided into Parts as described in Figure A.
286,2.
287,  Each Part is subdivided into sections by topic.
288,    Minimum requirements for sustainability are embedded  within the relevant Parts of the DBC.
289, Developers and  Consultants are encouraged to apply the rating system  adopted by the relevant Authority to assess their  projects and exceed these minimum requirements.
290,    Fire safety requirements are given in the relevant  Parts of the DBC and cross referenced to UAE FLSC  [Ref.
291, A.
292,1].
293, The aim of this cross-referencing is to help  Consultants navigate and coordinate the requirements  of the two documents.
294," Where an element of UAE FLSC  is not applicable in Dubai, or the DBC contains additional  information not in UAE FLSC, this is indicated in the  text."
295,    Part E  Building envelope    Part J  Security    Part K  Villas    Part B  Architecture    Part C  Accessibility    Figure A.
296,2 How to use and navigate the DBC    Part G  Incoming utilities    A 14    Dubai Building Code    Part A: General     A.
297,6.
298,2    Performance statements    A.
299,6.
300,"4    Definitions    The overarching objectives of the DBC, its intention  and regulatory scope, are set out in A."
301,1.
302,    In addition to the common definitions in A.
303,"2, each Part  has a section for definitions."
304,    A.
305,6.
306,5    Annexes    Any annex material is included at the end of the Part  to which it relates.
307, Annex material contains further  explanatory material.
308,    Each Part of the DBC starts with a set of performance  statements.
309," These set out the broad outcomes that  the completed building is expected to achieve, and  are provided to explain the intent of the prescriptive  design requirements within the Part."
310," If the prescriptive  design requirements of the Part are followed, then the  performance statements of the Part are deemed to be  met and will be accepted by the Authority."
311,    A.
312,6.
313,3    References    Each Part has a section for essential references and  further reading.
314, The requirements of the DBC and  the essential references form the prescriptive design  requirements of the DBC and will be enforced by the  Authority.
315, Websites and webpages shall be checked  regularly for updates.
316,"    NOTE: Where websites and webpages have been cited  throughout the DBC, they are provided for ease of  reference and are correct at the time of publication."
317,"  Changes to the location of a webpage or website, or its  contents, cannot be guaranteed."
318,    A 15    Dubai Building Code    Part A: General     A.
319,7 Adoption of DBC    A.
320,8 Alternative solutions    Projects in design or construction that have a final  approved design from the Authority do not need to  conform to the DBC.
321,    Projects in design without a final approved design shall  conform to the DBC.
322, The requirements of the DBC are  based on regulations enforced prior to its publication  and in many instances the DBC is less stringent.
323," For  example, requirements unrelated to health, safety,  welfare and environment have generally been removed  from the regulations."
324," Therefore, it is expected that  there will be benefits to Developers and Owners in  adopting the DBC."
325,    The DBC is intended to be a prescriptive design code.
326,  Performance statements are provided at the start of  each Part to describe the outcomes that the completed  building is expected to achieve.
327,    Alternative solutions shall be applied to a performance-  based design holistically such that a change from  one Part of the DBC does not reduce the building’s  performance in other aspects.
328,    Alternative solutions for changes to existing buildings  shall demonstrate that the existing conditions are  maintained to the current level of compliance or  improved to meet the safety levels of the DBC and  UAE FLSC [Ref.
329, A.
330,1].
331,    The Authority will decide whether or not a  performance-based design is equivalent to the  prescriptive design requirements.
332, The responsibility  is on the Consultant to demonstrate that the  performance-based design is required and that  it is at least equivalent to the prescriptive design  requirements.
333,    The DBC lists preferred international codes and  standards in each Part (see A.
334,4.
335,2).
336," Where permitted  by the Authority, alternative standards can be used  provided that the comparable standard meets the  intent of the DBC."
337,    The performance statements form a set of overarching  regulations that convey the requirements of the  DBC (see A.
338,6.
339,2).
340,    The preferred method of meeting the performance  statements of the DBC is to follow the prescriptive  design requirements in each Part.
341,"    The inclusion of performance statements sets out the  intent of the DBC and future-proofs it, supporting  a possible transition to a more performance-based  regulatory system in the future."
342,    Alternative solutions which meet the performance  statements of the DBC are permitted:    a) for projects that cannot reasonably meet the    prescribed requirements; and    b) for changes to existing buildings where the  requirements of the DBC would result in a  disproportionate cost to the Owner/Developer.
343,    The Authority will decide if an alternative solution is  permitted.
344,    An alternative solution shall meet the intent of  the performance statements and provide at least  an equivalent level of performance to all of the  prescriptive design requirements.
345,    A 16    Dubai Building Code    Part A: General     A.
346,9 Maintenance of DBC    A.
347,10 Copyright    A.
348,"11 Coordinate system    No content of the DBC, in part or whole, shall be  copied, printed, sold or reproduced in any format."
349,    The coordinate system used by the Authority is Dubai  Local Transverse Mercator (DLTM).
350, The reference  point for levelling is Port Rashid.
351,    A.
352,9.
353,1    General    The DBC is an interactive document available  electronically.
354,    The DBC will typically be maintained and updated on a  two- to three-year cycle.
355," If necessary, addendums will  be issued between cycles."
356," It is therefore important that  Consultants, Contractors and Engineers check back  regularly to ensure that they are following the latest  version of the DBC."
357,    A.
358,9.
359,2    Latest changes to DBC    This edition is the first edition of the DBC.
360,    Amended content in future editions will be clearly  indicated.
361," For example, new content will be side lined in  the first edition in which it is published."
362,    A 17    Dubai Building Code    Part A: General     A.
363,"12 Dimensions, units and calculations    Unit    Length    Mass    Time    Temperature    Energy    Acceleration    Area    Frequency    Velocity    Volume    Density    Stress    Force    Moment    Stiffness    SI-system symbol  (preferred units)    System mm-t-s    Symbol    System mm-kg-ms    Conversion from SI  units    Symbol    Conversion from SI  units    m    kg    s    oC    J    m/s2    m2    Hz    m/s    m3    kg/m3    N/m2    N    Nm    N/m    mm    t    s    oC    mJ    mm/s2    mm2    Hz    mm/s    mm3    t/mm3    N/mm2    N    Nmm    N/mm    103    10−3    1    1    103    103    106    1    103    109    10−12    10−6    1    103    10−3    mm    kg    ms    oC    J    mm/ms2    mm2    ms−1    mm/ms    mm3    kg/mm3    kN/mm2    kN    kNmm    kN/mm    103    1    103    1    1    10−3    106    10−3    1    109    10−9    10−9    10−3    1    10−6    Table A."
364,4 Preferred units    A.
365,12.
366,"1    Dimensions    All dimensions in the figures and diagrams of the  DBC are given in millimetres without units, unless the  distance exceeds 1,000 mm, and then it is given in  metres with units (m)."
367, Dimensions that are not stated  as “maximum” or “minimum” are absolute.
368,"    All dimensions are subject to conventional industry  tolerances, except where the requirement is stated as a  range with specific minimum and maximum end points."
369,    A.
370,12.
371,2    Units    All quantities shall be in metric units with the units  defined.
372,    All engineering shall be performed in dynamically  consistent units.
373, One of the two systems shown in  Table A.
374,4 should be used.
375," Use of dimensions between  analysis models, drawings and/or building information  modelling (BIM) models shall be fully coordinated and  consistent."
376,    A.
377,12.
378,3    Calculations    Where the required number of elements (e.
379,g.
380," parking  or sanitary provisions) to be provided is determined by  calculations of ratios or percentages, and this results in  remainders or fractions, the next greater whole number  of such elements shall be provided."
381,    A 18    Dubai Building Code    Part A: General     B.
382,1    B.
383,2    B.
384,3    B.
385,4    B.
386,5    B.
387,6    B.
388,7    B.
389,8    B.
390,9    Performance statements    Definitions    References    General architectural provisions    Minimum space requirements    Circulation requirements and openings    Building access and vehicular requirements    Communal provisions in buildings    Architectural requirements for specific building  types and spaces    B.
391,10    Buildings interaction with outdoor environment    B.
392,11 Wayfinding in buildings    B 1    Dubai Building Code    Part B    Architecture       B.
393,1    Performance statements    Performance statement    The building shall be appropriately  integrated with the surrounding natural  and built environment.
394,"    The building shall facilitate the safety,  convenience and welfare of building  occupants as they move in and around  the building, including access and  egress."
395,    The building shall provide appropriate  access and safe circulation for vehicles  within the site and building.
396,    The building shall provide minimum  communal provisions and facilities for  the welfare of occupants.
397,    The building shall be provided with  adequate and accessible solid waste and  recycling storage to safeguard people  from injury or illness caused by infection  or contamination.
398,    The performance statement will be met  by following the requirements of:    B.
399,"4, B."
400,9 and B.
401,10    B.
402,"4, B."
403,"5, B."
404,"6, B."
405,9 and B.
406,11    B.
407,7 and B.
408,9    B.
409,8 and B.
410,9    B.
411,8.
412,5 and B.
413,9    B 2    Dubai Building Code    Part B: Architecture     B.
414,2 Definitions    B.
415,2.
