,Sentences,length,word_count,length_change,wordcount_change
2774,figur g.30 typic exampl main equipotenti bond servic (© institut engin technology. figur base figur 5.6 guidanc note 8 earth bond ref. g.3),139,23,30,0
2775,"key 01 extran conduct part 02 water instal pipe 03 circuit protect conductor 04 ga instal pipe 05 main protect bond conductor 06 earth conductor 07 mean earth g 64 dubai build code part g incom util g.4.20 undervoltag (uv) relay power factor correction, harmon pf correct g.4.20.1 pf everi consum instal shall within rang 0.9 lag uniti (recommend valu 0.95 lagging)",365,62,72,0
2776,"air-condit units/plants/equipment, machines, motors, light fit discharg lamps/mercuri vapour/sodium vapour/fluoresc tubes, etc., shall provid capacitor approv mean achiev maintain pf 0.95 lag above, throughout normal work rang",226,27,30,0
2777,"commerci premis requir dewa servic feeder 200 above, individu load compens cannot achieved, overal compens main sub-main distribut level shall provid incorpor capacitor bank automat regul steps. residenti premis limit shall 400 feeder",234,33,47,0
2778,"pf correct capacitor shall dry, encapsulated, seal type conform iec 61921",73,11,8,0
2779,"capacitor shall enclos guard prevent accident contact conduct metal part expos energ parts, termin buse associ",110,16,25,0
2780,"capacitor instal pf correct shall provid mean automatic, immedi discharg capacitor disconnect sourc suppli",106,14,17,0
2781,"discharg circuit shall either perman connect termin capacitor capacitor bank, provid automat mean connect termin capacitor bank remov voltag line. manual mean switch connect discharg circuit shall provid",203,28,35,0
2782,"capacitor associ compon pf regulator, indic instruments, contactor (of capacitor switch duty), control switches, etc. shall design rate oper base a) electr suppli b) ambient condit specifi g.4.6 c) select detail recommend g.4.13. capacitor unit shall design temperatur class accord iec 61921",291,42,49,0
2783,current-carri capac conductor connect capacitor termin motor motor circuit conductor shall 1) minimum one-third current-carri capac motor circuit conductor 2) minimum 1.5 time rate current capacitor cases. overcurr devic shall provid circuit capacitor bank. separ overcurr devic requir capacitor connect load side motor overload protect device. rate set overcurr devic shall low practic,386,53,54,0
2784,"capacitor bank instal pf correct major contributor potenti resonance. reson condit magnifi harmon levels. parallel reson give rise high imped across network caus voltag current amplification. network studi shall carri determin correct rate capacitor oper without caus resonance. mitig measur shall taken instal suitabl harmon filter reactors. capacitor shall suitabl oper harmon current conditions. minim risk harmon currents, harmon filter reactor shall provid seri capacitors. tune capacitors, harmon filter reactor shall made lowest harmon order present network",564,77,90,0
2785,"contactor use capacitor bank shall abl withstand switch surge. suitabl mean shall instal isol capacitor, capacitor bank, capacitor instal sourc voltag remov unit servic",168,24,26,0
2786,g 65 dubai build code part g incom util non-current-carri metal part capacitor shall earth specifi g.4.19,105,17,20,0
2787,capacitor shall provid name plate indic follow inform i) ii) rate voltag frequenc iii) kvar iv) number phase v) discharg devic vi) name manufactur,146,24,23,0
2788,"wherev capacitor bank/panel instal suppli side dewa kwh metering, adequ seal provis shall made specifi g.4.5",108,16,16,0
2789,"premis capacitor bank instal individu equip provid suitabl mean pf correction, pf meter shall provid mdb display pf. pf deviat requir specifi designer, consum shall arrang pf correct equip maintain pf close 0.95 lag",215,34,45,0
2790,capacitor bank panel shall provid suitabl rate main incom isol switch. shall three-pol isol mccb. handl incom isol mccb shall interlock door ensur capacitor bank de-energ door open,180,28,30,0
2791,g 66 capacitor bank shall provid forc ventilation. shall doubl enclosur limit temperatur rise outdoor/open sky area installations. trip mechan alarm shall provid oper event failur ventilation/excess temperatur rise,214,29,19,0
2792,g.4.20.2 harmon rapid voltag chang consumer’ load shall caus deviat voltag characterist permit bs en 50160 iec 61000,116,18,19,0
2793,on-sit measur determin complianc harmon limit excess deviat shall carri consumer. follow characterist suppli voltag shall taken account a) power frequenc b) magnitud suppli voltag c) suppli voltag variat d) rapid voltag chang flicker e) suppli voltag dip f) short interrupt suppli voltag g) long interrupt suppli voltag h) temporari power frequenc voltag i) transient voltag j) suppli voltag unbal k) harmon voltag l) inter-harmon voltag m) main signal voltag,459,70,72,0
2794,"g.4.20.3 undervoltag (uv) relay auto reset timer air-condition air-condit units/plants/ equip instal within consumer’ instal shall provid uv relay trip circuit breakers/contactor associ relays. trip shall occur immedi without intent time delay suppli voltag drop 75% nomin remain 75% durat 0.2 s. trip shall occur suppli voltag recov 75% within 0.2 s. uv relay’ auto-reset timer shall adjust time set 5 min 10 min. circuit breakers/contactor associ uv relay shall auto-clos facil restor suppli chillers/air condit units, normal suppli voltage, relay reset automatically. auto-clos facil shall motor operation. auto-reset timer uv relay shall set valu specifi manufacturer’ schedules, approv dewa, suit individu installation. necessari provis seal may incorpor relay restrict access adjust setting. dubai build code part g incom util uv relay auto-reset timer shall normal incorpor within respect air-condit unit/equip control panels. normal air-conditioners, uv relay auto-reset timer may provid within consumer’ db individu group air-condit units. prior approv shall obtain dewa applic",1086,154,186,0
2795,uv relay shall appli trip respect air-condit units/pl equip sensit voltag variations. uv relay shall appli trip lv incom circuit-breakers/acb within main lv panel. uv relay associ control shall check maintain regularly. 75% voltag threshold trip time air-condit units/plants/equip shall confirm dewa instal,306,43,61,0
2796,g.4.21 construct site g.4.21.1 gener assembl distribut electr construct site shall conform bs 4363 bs en 61439,110,17,21,0
2797,"equip shall identifi temporari label identifi suppli location, shall compat particular suppli energized. shall contain compon connect singl instal",146,19,26,0
2798,"g 67 cabl shall instal across site, road walkway unless cabl protect mechan damage. cabl use construct site shall metal sheath and/or armour, shall effect earth continu",168,27,29,0
2799,"wire system shall arrang strain place termin conductors, unless termin design purpos",84,12,21,0
2800,assembl construct site shall incorpor suitabl devic switch isol incom suppli,76,11,24,0
2801,"circuit breaker shall provid isol incom supply. circuit breaker shall either suitabl secur posit padlock, instal insid lockabl enclosur",135,19,23,0
2802,safeti standbi suppli shall connect mean devic arrang prevent interconnect differ suppli,88,12,17,0
2803,"meter cabinets, db wire instal instal outdoor shall weatherproof (ip 65 accord bs en 60529)",91,15,21,0
2804,g.4.21.2 wire system distribut board cabl instal conduit trunk shall a) armour b) protect accident deliber interfer person c) protect weather,141,21,31,0
2805,mean emerg switch shall provid suppli equip might necessari disconnect live conductor order remov hazard,104,15,16,0
2806,"equip shall located, notic displayed, way facilit immedi emerg disconnect electr supply. lock arrang shall provid remov emerg (e.g. panic bar key avail break-out box)",166,25,46,0
2807,"propos one feeder mean mdb instal differ locations, emerg power facil shall provid singl location. might necessari use reduc lv suppli portabl tool high exposur potenti damage, person requir oper equip confin space hazard circumstances. reduc lv shall use deem necessari",270,41,48,0
2808,dubai build code part g incom util temporari electr system entertain similar purpos shall provid accord bs 7909,111,18,28,0
2809,"earth leakag protect g.4.21.3 addit overcurr short-circuit protection, everi circuit shall protect earth leakag",111,14,13,0
2810,follow shall protect elcb/rccb rate oper current 30 a) final sub-circuit connect 13 switch socket outlet b) portabl tool c) equip,129,21,23,0
2811,"100 elcb/rccb shall provid protect light circuits, fix equipment, etc. unless otherwis specifi",94,13,13,0
2812,"consum shall check test earth systems, oper elcbs/rccbs, wire installation, etc. regularli verifi instal safe, shall take remedi action necessari",145,20,20,0
2813,g 68 dubai build code part g incom util g.5 electr vehicl (ev) charg point g.5.1 charg mode g.5.1.1 iec 61851 specifi four differ mode conduct charg electr vehicles. four mode summar g.5.1.2 g.5.1.5,198,34,41,0
2814,"gener mode 1 charg g.5.1.2 mode 1 charg illustr figur g.31. altern current (ac) deliv on-board charger ev, via standard socket outlet charg cabl without commun function. rcd shock protect provid suppli side fix electr installation. mode 1 suitabl longer period charg home work place. mode 2 charg g.5.1.3 mode 2 charg illustr figur g.32. charg cabl assembl incorpor in-cabl control box. fix electr instal charg facil similar mode 1 except final circuit, protect devic socket shall suitabl rate connect load, shall exceed 32 a, order cater higher level charg current",565,91,100,0
2815,mode 1 permit due lack safeti measur associ mode charg,54,10,12,0
2816,"figur g.31 electr vehicl mode 1 charg figur g.32 electr vehicl mode 2 charg key 01 batteri 02 ev inlet 03 connector 04 on-board charger 05 plug 06 socket outlet g 69 key 01 batteri 02 ev inlet 03 connector 04 on-board charger 05 plug 06 socket outlet 07 in-cabl control box dubai build code part g incom util mode 3 charg g.5.1.4 mode 3 charg illustr figur g.33. employ dedic ev servic equip (evse) charg cabl assembly. control pilot cabl charg cabl assembl allow commun evs on-board charger. commun function includ mode 4 charg g.5.1.5 mode 4 charg illustr figur g.34. employ off-board charger deliv direct current battery, bypass on-board charger. mode charg ev rel short time higher electr power use (rang 20 kw 120 kw)",722,127,108,0
2817,a) verif connect ev b) continu check protect earth conductor integr c) energ de-energ suppli d) select charg rate,113,19,42,0
2818,"06 05 note maximum charg capac dewa charger shall limit 25kw per charg outlet, subject avail load capac",103,18,18,0
2819,"figur g.33 electr vehicl mode 3 charg figur g.34 electr vehicl mode 4 charg key 01 batteri 02 ev inlet 03 connector 04 on-board charger 05 plug 06 socket outlet 07 ac charger facil g 70 key 01 batteri 02 ev inlet 03 connector 04 dc quick charg facil dubai build code part g incom util g.5.2 evs design requir 2) cabl suppli evs shall mechan d) follow requir shall met permit charg mode describ g.5.1.3 g.5.1.5, follow requir shall met",434,81,80,0
2820,a) follow gener requir shall met,32,6,11,0
2821,1) instal privat charg outlet shall subject prior dewa approval. 2) design evs shall enabl mainten servic work carri safe,121,20,21,0
2822,"3) evs shall instal suffici space around it, accord manufacturer’ instructions, allow ventil cool equip",103,15,24,0
2823,4) evs shall instal way minim distanc ev inlet charg equip,58,11,15,0
2824,"5) evs shall instal locat potenti explos atmospher exists, petrol stations. locat requir evse, shall instal outsid hazard zone",126,19,28,0
2825,b) follow requir shall met circuit,34,6,10,0
2826,"1) evs shall suppli separ dedic radial circuit. radial circuit shall suppli loads, except ventil equip requir evse. note one evs fed suppli circuit, provid combin current demand equip exceed rate suppli circuit",210,33,32,0
2827,"g 71 protect mean metal sheath/armour, instal insid conduit made either i) rigid steel ii) plastic iii) pvc",107,18,7,0
2828,"3) final circuit shall size carri rate current evse, limit voltag drop requir",77,13,7,0
2829,"4) final circuit suppli one evse, shall diversity. divers factor (usual greater one) may use dedic distribut circuit suppli multipl evs charg points, provid load control avail",175,27,29,0
2830,isol switch,11,2,8,0
2831,"1) mean isol suppli evs circuit shall provided, accord g.4.13.2. isol devic shall i) capabl lock open posit ii) locat posit readili access mainten purpos iii) suitabl identifi mark and/or identif",195,31,51,0
2832,"2) emerg switch provided, shall i) locat posit readili accessible, accord manufacturer’ recommend ii) suitabl identifi mark and/or c) follow requir shall met socket label connector",180,26,41,0
2833,"iii) disconnect live conductors, includ 1) one socket outlet and/or vehicl connector shall neutral",98,14,4,0
2834,use charg one ev,16,4,2,0
2835,e) follow requir shall met 2) evs shall instal main protect,59,11,16,0
2836,oper control socket outlet 0.75 1.2 ground,42,7,6,0
2837,3) ev manufacturer’ instruct shall follow determin type socket outlet instal,76,11,13,0
2838,1) evs associ equip shall select erect way minim risk overload short- circuit,77,13,18,0
2839,2) final circuit shall individu protect fault current suitabl rate overcurr protect devic,89,13,15,0
2840,dubai build code part g incom util 3) oper instruct charg facil shall display promin locat park space evse. instruct shall includ follow inform i) rate voltag (v) ii) frequenc (hz) iii) current (a) iv) number phase,214,37,53,0
2841,4) direct signag insid outsid car park recommend direct ev driver park space evs,80,14,17,0
2842,"3) basic protect electr shock shall provid automat disconnect suppli electr separ (see g.4.13.2). 4) everi charg point shall individu protect 30 rcd. rcd shall disconnect live conductors, includ neutral",202,30,35,0
2843,5) requir g.4.19 shall met final circuit,40,7,7,0
2844,f) follow requir shall met label,32,6,13,0
2845,"1) label identif requir list g.4.18.6 shall met, togeth follow",62,10,24,0
2846,2) label evs shall i) clear ii) easili visibl iii) written arab english iv) construct affix remain legibl long enclosur use,123,21,11,0
2847,"g 72 dubai build code part g incom util g.6 renew energi g.6.1 gener type renew energy, solar energi clean secure. dewa encourag use solar energi reduc relianc tradit energi sourc (such gas, oil coal), diminish",210,36,35,0
2848,"onsit gener electr solar pv shall solar grid-connect system. grid- connect solar gener shall connect dewa network, oper maintain accord applic legisl ref. g.4 dewa sham dubai regul ref. g.5. system document requir describ g.6.2",227,35,60,0
2849,note 1 connect solar pv system distribut renew resourc gener (drrg) dewa grid subject dewa approv,97,16,17,0
2850,note 2 detail technic requir set dewa technic public resourc ref. g.6,69,12,20,0
2851,"design shall compli dewa specifications, accept standards, procedur requir publish dewa websit (sham dubai section). requir updat regularli form integr part dbc",160,22,28,0
2852,"solar power gener system shall conform section 2, ch. 14 uae flsc ref. g.1 section",82,15,6,0
2853,"g 73 build attach photovolta (bapv) system attach roofs, exclud curv special roofs, permit achiev minimum fire classif class c test per test standard section 2.2.4, ch. 14 uae flsc ref. g.1",189,32,30,0
2854,minimum fire classif permit build integr photovolta (bipv) bapv system shall confirm dewa dcd upon commenc design,113,17,28,0
2855,"g.6.2 system document requir consult contractor regist dewa activ relat grid-connect solar pv system (drrg solar pv consult drrg solar pv contractors) shall follow dewa guidelin publish dewa websit requirements. applic solar connect shall submit onlin shall includ follow document a) basic system inform b) detail system design c) detail system installer, oper mainten procedur",377,55,77,0
2856,note detail requir set dewa connect guidelin distribut renew resourc gener connect distribut network ref. g.7,109,16,31,0
2857,"g.6.3 wire diagram datasheet annotated/t form singl line wire diagram meet requir dewa sham dubai regul ref. g.5 shall upload dewa application. shall includ follow inform a) pv array gener specif 1) pv modul type(s) 2) total number pv modul 3) number pv string 4) pv modul per string b) pv string inform 1) string cabl specif – size type 2) string fuse specif (where fitted) – type voltage/curr rate c) pv array electr detail 1) pv array main cabl specifications, ac dc – size type 2) pv array junction box locat (where applicable) 3) dc isol type, locat rate (voltage/current) d) earth overvoltag protect 1) detail earth/bond conductor – size connect point (to includ detail pv array frame equipotenti bond cabl fitted) dubai build code part g incom util 2) design verif detail connect exist lightn protect system supplementari lightn protect system provid 3) detail surg protect devic instal (on ac dc lines), includ location, type rate e) ac electr details, inbuilt extern protect 1) ac isol location, type rate 2) ac overcurr protect devic location, type rate 3) residu current devic location, type rate",1107,186,206,0
2858,"g.6.4 label identif g.6.5 meter meter provis dewa requir access meter cabinet instal smart meter (pv gener check meter tariff meters). contractor shall instal meter cabinet easili access location, accord g.4.5",209,31,47,0
2859,"solar pv instal shall meet requir dewa sham dubai regul ref. g.5, togeth follow requir",86,15,30,0
2860,"a) circuits, protect devices, switch termin shall label identifi relev part instal",82,12,21,0
2861,b) dc junction box (pv gener pv array boxes) shall provid caution label indic risk due dual sourc,97,18,15,0
2864,"e) invert protect set instal details, applicable, shall display",63,9,18,0
2865,f) procedur emerg shutdown shall display,40,6,8,0
2866,g) sign label shall suitabl affix,33,6,5,0
2867,h) durabl copi test commiss data shall provid consum,52,9,13,0
2868,g 74 dubai build code part g incom util g.7 substat mv instal g.7.1 mv network design requir guidelin (11 kv) g.7.1.4 maximum sustain load 11 kv feeder cabl load g.7.1.1 g.7 outlin design requir gener a) dewa substat requir within build plot boundari b) 11kv medium voltag (mv) network provid primari power build plot,317,55,58,0
2869,reliabl suppli g.7.1.2 ring suppli consist two feeder (a two-fe ring) normal feed arrang power supply. three-fe ring arrang may adopt case mv switchgears/rmu instal one locat ensur specif suppli reliabl,202,31,42,0
2870,"reliabl power supply, n-1 line criterion may use installations. case power failur one feeder, feeder capabl meet entir demand maximum 6 h",137,22,8,0
2871,g.7.1.3 dewa standard 11 kv cabl size standard cabl size a) 3/c 300 mm2 copper xlpe b) 3/c 240 mm2 copper xlpe c) 3/c 240 mm2 aluminium xlpe,140,28,4,0
2872,a) 300 mm2 copper xlpe cabl (summer rating) 175 a/3 mw b) 240 mm2 copper xlpe cabl (summer rating) 160 a/2.7 mw,111,22,4,0
2873,singl unit load demand shall exceed maximum sustain current 175 a/3 mw 11 kv feeder cabl,88,16,4,0
2874,"11 kv privat switchgear shall rate symmetr short-circuit current less 31.5ka, short time current rate 3",103,16,8,0
2875,"privat equip bulk load (e.g. furnac district cooling) requir direct mv supply, space meter unit customer’ premises/subst shall provided. necessari documents, draw sld shall submit comments/approv design stage",208,28,31,0
2876,parallel oper g.7.1.5 parallel oper dewa’ mv feeder allow circumstances. electr mechan interlock shall provid requir,116,16,29,0
2877,standbi gener allow oper parallel dewa’ network. interlock shall provid requir,78,11,18,0
2878,custom shall maintain pf 0.95 (lagging) uniti point connect dewa’ mv network,76,12,6,0
2879,"custom shall compli dewa’ limit maximum allow motor start currents, correspond electr power ratings, indic tabl g.22",116,17,23,0
2880,"motor electr power rate max. start current* less equal 600 kw 6 × full load current 600 kw 1,200 kw 4 × full load current 1,200 kw 1,800 kw 1,800 kw 2,400 kw 2,400 kw 3,000 kw 3 × full load current 2 × full load current 1.5 × full load current motor electr power rate max. start current* * maximum current per feeder motor start (includ run motor loads) exceed 350 circumst",373,73,34,0
2881,"tabl g.22 dewa limit maximum allow motor start current g 75 dubai build code part g incom util cabl trench g.7.1.7 maximum allow number cabl per trench 11 kv cabl 20. cabl shall arrang maximum two layer within trench maximum width 3 side road, close 132/11 kv substation. minimum 2 clearanc shall maintain mv cabl trench surround heat sourc 132 kv cabl trench. permit horizont space mv cabl 150 mm (edg edg mv cables) permit vertic space layer 100 mm (edg edg 11 kv cables). refer figur g.35",491,88,70,0
2882,cross 132 kv cabl mv cabl shall use unless unavoidable. separ corridor shall alloc within premis mv cabl lay along road,119,21,21,0
2883,"soil resist 1.6 °c-m/w, backfil around mv cabl shall maximum moistur content 2% 90% compact",91,15,12,0
2884,sld illustr protect scheme shall submit relay set calcul design stage,69,11,21,0
2885,figur g.35 typic minimum clearanc cabl instal within trench follow inform shall submit approv design stage a) motor specif b) start method characterist specif c) number motor start per day oper sequenc d) sld equip layout,221,36,56,0
2886,"harmon g.7.1.6 load inject harmon current dewa’ network, harmon (voltag current) studi point connect required. studi shall submit dewa approv design stage",154,22,20,0
2887,"custom shall compli dewa’ limit harmon emiss voltag current, base iec 61000-3-62.0-2008. detail specif size equipment, includ harmon spectrum, shall provid dewa approv",167,23,32,0
2888,"commiss project, harmon flicker site measur shall conducted. report measur shall submit dewa. measur valu exceed dewa’ limits, custom shall arrang solut reduc harmon emiss permiss limit",185,27,47,0
2889,"g 76 dubai build code part g incom util g.7.2 substat construct within privat plot gener g.7.2.1 building-typ substat shall construct project labour accommodation, schools, nurseri hospit",187,27,34,0
2890,pocket (self-contained) substat shall instal petrol station insid build,71,9,13,0
2891,"substat paramet g.7.2.3 singl room substat ground floor (see g.7.5.1) shall clear height less 3,700 mm",102,16,10,0
2892,"split/bas substat arrang (see g.7.5.2), rmu room ground floor shall clear height less 3",87,14,14,0
2893,"expans joint shall use rmu room transform rooms, ceil",53,9,12,0
2894,basement transform room shall clear height less 3,49,8,2,0
2895,substat locat g.7.2.2 substat shall posit dedic room hous,57,9,21,0
2896,substat locat basement level shall transform room first basement level,70,10,10,0
2897,lv electr room shall adjac substat room main panel privat,57,10,12,0
2898,wet area shall instal substat (see g.7.4),41,7,8,0
2899,substat finish floor level (ffl) shall maintain 150 mm 300 mm adjac ground level (toward door side). addit room paramet shown figur g.36 figur g.37,147,25,21,0
2900,ffl transform room basement level shall maintain 75 mm 150 mm higher adjac outsid ground level (toward door side),113,19,9,0
2901,g 77 dubai build code part g incom util 6.54 06 1.0 0.77 0.90 0.77 2.05 0.20 0.40 0.85 01 02 0.60 3.0 05 0.45 04 5.00 0.92 0.60 0.92 0.87 1.03 03 0 4,149,35,11,0
2903,0 1.00 6.54 06 1.68 3.05 1.68 1.0 0.77 0.90 0.77 2.05 0.20 0.40 0.85 01 02 0.60 3.0 05 0.45 04 5.00 0.92 0.60 0.92 0.87 1.03 03 0 4,131,31,0,0
2905,0 1.00 2.75 07 2.15 0.60 5.00 3.00 08 0.45 0.60 0.95 0.15 09 3.70 0.63 11 10 1.68 3.05 1.68 5.00 3.00 08 figur g.36 gener dimension detail substat within build (m) 2.15 3.70 2.75 07 g 78 0.60 0.45 0.60 0.95 0.15 09 0.63 11 10 key 01 150 mm øpvc trench level 02 transform base 03 rmu 04 rtu 05 louver window door detail ffl 0.6 x 3 (w) x 2.15 (h) 06 600 mm open channel base level 07 door 08 air intak louver 09 chequer plate two lift hole 10 25 mm diamet lift hole 11 chequer plate cover dubai build code part g incom util 7 7,526,113,46,0
2908,0 0.20 0.40 7 7 0,17,6,0,0
2912,0.20 0.40 0 4 0,15,5,0,0
2913,0.85 01 02 1.03 03 0.40 0.85 01 02 1.03 03 0.40 0 0,51,14,0,0
2915,1 0.45 0.20 0.40 0.85 0.45 2 9,30,8,0,0
2920,0 01 1.0 0 0.5 0 2 9,20,8,0,0
2924,0 06 02 07 08 2 9,17,7,0,0
2926,0 1.03 03 0.40 0 0,18,6,0,0
2931,0 1.0 0 0.5 0 06 07 08 (a) transform rmu detail (b) chequer plate mount detail 09 04 05 0 4,91,22,8,0
2932,"0 14 06 07 08 13 1.0 0 0.5 0 10 11 12 0.65 0.30 0.15 (c) incom trench construct detail 14 figur g.37 detail within figur g.36 (m) 09 0.65 0.30 0.15 g 79 13 10 11 12 09 14 13 10 11 12 0.65 0.30 0.15 0.95 0.15 0.30 0.95 0.15 0.30 key 01 150 mm øpvc trench level 02 transform base 03 rmu 04 13 mm × 6 mm flat bar weld angl 05 6 mm thick hot dip galvan chequer plate cover 06 25 mm × 25 mm × 3 mm angl weld chequer plate cover two side 07 60 mm × 60 mm × 6 mm edg angl 08 t10 anchor weld angl 300 mm centre-to-centr 09 wall 10 open 11 pre-cast concret 12 slope 13 channel 14 chequer plate 0.95 0.15 0.30 dubai build code part g incom util earth g.7.2.4 substat earthing, form part consumer’ scope, shall meet dewa requir design stage",729,159,63,0
2933,follow requir shall met substat neutral earth scheme (see figur g.38) a) two dedic interconnect earth pit shall provid transform earth shall connect substat earth strip loop. effect earth resist valu measur neutral earth strip shall less 2.0 ω,243,39,50,0
2934,b) two dedic interconnect earth pit shall provid transform equip bodi earth shall connect transform equip bodi earth strip loop. effect earth resist valu measur equip bodi earth strip shall less 2.0 ω,200,33,42,0
2935,c) interconnect transform neutral earth equip bodi earth permit,63,9,18,0
2936,"d) earth strip shall mount cabl trench wall nearest point respect equipment, minimum clearanc 50 mm wall",104,17,8,0
2937,e) earth strip shall provid minimum four 12 mm diamet hole earth loop,69,13,9,0
2938,"g 80 f) earth conductor shall copper materi minimum 95 mm2 diameter. length conductor exce 50 m, 120 mm2 diamet copper earth conductor shall use",144,25,11,0
2939,"g) substat multipl transform rmu arrangements, neutral earth scheme outlin shall repeat everi two transform equip bodi earth scheme repeat everi three transform correspond rmu",175,25,33,0
2940,figur g.38 substat neutral earth key 01 substat neutral earth strip 02 bodi neutral earth strip 03 neutral earth pit 04 bodi earth pit 05 substat room dubai build code part g incom util g.7.3 substat locat access substat room/rmu room shall directli locat rta/publ road sikka,275,47,41,0
2941,"substation/rmu room locat sikka, sikka minimum clear width 6.1 m. however, propos rmu room locat less 12 away main road sikka use minimum clear width 3",151,26,8,0
2942,access shall provid dewa staff vehicl plot limit substat rmu room (if setback alloc affect plan compet authority). access shall directli open sky avail 24/7,156,25,23,0
2943,"split room/bas room arrangement, transform room may locat intern driveway clear (3 wide x 3 high) direct access rta road",120,20,11,0
2944,"requir provis attic g.7.4 slab substat lv electr room wet facil shall normal locat substation/rmu room/lv electr room. occasionally, except unavoid cases, permit discret dewa, case follow requir shall met",204,30,57,0
2945,g 81 a) reinforc concret attic slab shall provid entir substation/rmu room/lv electr room,89,14,10,0
2946,"b) entir attic slab floor slab above, includ vertic side attic slab, shall waterproof use approv system",103,17,13,0
2947,"c) consult shall take full respons supervis waterproof works, execut test waterproof",84,12,25,0
2948,"d) pipes, joints, trap, etc. run wet area shall enclos approv waterproof membran",80,13,13,0
2949,"e) void floor attic slab shall clear height less 600 mm. void attic slab shall access via open 1,200 mm × 600 mm, fit aluminium louver door. void shall use purpos shall perman light arrangement. drain pipe shall provid attic slab drain water leakag floor slab. tile compulsori attic slab",287,50,22,0
2950,"f) consult shall forward complet floor plan dewa. plan shall show locat wet area substation/rmu room/ lv electr room. extent attic slab shall clearli mark plans. typic cross section wet area, substation/rmu room/lv electr room attic slab shall shown drawings, includ waterproof arrangement/systems/materi",304,43,31,0
2951,"follow checklist shall follow attic slab construct 1) reinforc concret attic slab entir substation/r main unit/lv 2) clear depth (void) 600 mm attic slab floor slab 3) aluminium louver access door 1,200 mm × 600 mm clear depth (void) outsid substat 4) waterproof attic slab, floor slab attic slab vertic side wall 5) drain pipe 40 mm diamet project attic slab 6) waterproof pipe joints, traps, etc. run wet area 7) light insid void space 8) draw show detail attach 9) guarante letter 10) high pressur vertic pipe pass void area 11) pvc tray provid 1100 slope toward drain pipe",576,100,65,0
2952,dubai build code part g incom util g.7.5 substat type area g.7.5.1 singl room substat (rmu transform room ground floor) dimens singl room substat rmu transform room ground floor shall conform tabl g.23 figur g.39 figur g.41,223,37,35,0
2953,6.54 06 1.0 0.77 0.90 0.77 2.05 0.20 0.40 area requir (m2) minimum width room (m) 0.85 01 02 0.60 33 55 addit 25 3.0 05 0.45 4.57 6.1 — — 04 5.00 0.92 0.60 0.92 0.87 1.03 03 0 4 0,179,42,7,0
2955,"1.00 1.68 3.05 1.68 figur g.39 typic 1 × 1,000 kva/1,500 kva substat arrang (m) (for refer only, construction) key 01 150 mm øpvc trench level 02 transform base 03 rmu 04 rtu 05 louver window 3.0 (w) x 2.15 (h), instal 0.6 affl, construct detail louver door 06 0.60 open channel base level transform topolog 1 × 1,000/1,500 kva 2 × 1,000/1,500 kva addit transform four transform (includ necessari equipment) 10 tabl g.23 dimens singl room substat g 82 dubai build code part g incom util 9.00 6.00 5 7",500,91,69,0
2956,0 0.45 0.20 0.40 0.77 0.90 0.77 1.00 0.77 0.90 0.77 0.20 0.40 0.85 01 02 0.85 01 02 0.45 0.45 0.92 0.60 0.92 0.92 0.60 0.92 04 0.90 0 3,135,31,0,0
2964,"1 1.00 2.98 3.05 2.98 figur g.40 typic 2 × 1,000/1,500 kva substat arrang (m) (for refer only, construction) key 01 150 mm øpvc trench level 02 transform base 03 rmu 04 rtu g 83 dubai build code part g incom util 5 7",216,44,28,0
2965,0 0.45 0.20 0.40 0.77 0.90 0.77 1.00 0.77 0.90 0.77 0.20 0.40 0.85 01 02 0.85 01 02 0.45 0.45 0.92 0.60 0.92 0.92 0.60 0.92 0 0,127,29,0,0
2966,6 04 0.90 0 3,13,5,0,0
2972,"1 1.00 05 06 figur g.41 typic substat arrang allow addit transform (m) (for refer only, construction) 9.0 4.15 1.65 key 01 150mm øpvc trench level 02 transform base 03 rmu 04 rtu 05 25 m2 extra transform 06 10 m2 extra transform g 84 dubai build code part g incom util g.7.5.2 split room substat (rmu transform separ room ground floor) dimens split room substat rmu transform separ room ground floor shall conform tabl g.24, figur g.42, figur g.43, tabl g.25 figur g.44",469,84,70,0
2973,transform topolog area requir (m2) minimum width room (m) toward door side 0,76,13,8,0
2975,"2 one rmu set control two transform addit rmu set 9 7 four transform (includ necessari equipment) 10 3 3 5 tabl g.24 dimens rmu room, ground floor key 01 rmu 02 rtu 03 9 m2 3.0 02 6 3",183,40,23,0
2977,0 1.00 01 1.55 3 0,18,6,0,0
2983,"0 figur g.42 typic ground floor rmu room spatial arrang one rmu (m) (for refer only, construction) 6 3 1",104,20,13,0
2984,0.60 3.0 0 4 0,14,5,0,0
2985,01 1.00 02 1.55 03 3 0 1,24,8,0,0
2987,"04 05 key 01 rmu 02 rtu 03 9 m2 04 7 m2 extra rmu 05 10 m2 four transform 3.0 2.33 3.33 figur g.43 typic ground floor rmu room spatial arrang multipl rmu (m) (for refer only, construction) g 85 dubai build code part g incom util key 01 150 mm øpvc trench level 02 transform base 03 trench 04 21 m2 extra transform transform topolog (ground floor) area requir (m2) minimum width room (m) 1 × 1,000/1,500 kva extra area requir addit transform 2 × 1,000/1,500 kva transform 21 21 42 4.57 — 6.1 tabl g.25 dimens transform room, ground floor 0.77 0.90 0.77 01 02 1.28 0.20 0.40 0.45 2 9",581,114,59,0
2990,0 03 1.70 0.20 0 2,18,6,0,0
